"Hemisphere","DktRegion","Pipeline","Accuracy"
"Left","pOPER","FSLong",6.84891352666914
"Left","pOPER","FSLong",6.86531730771333
"Left","pOPER","FSLong",6.2254781265733
"Left","pOPER","FSLong",5.8467446027329
"Left","pOPER","FSLong",6.67123399163399
"Left","pOPER","FSLong",6.84529100764196
"Left","pOPER","FSLong",6.32380434096539
"Left","pOPER","FSLong",6.01143124518348
"Left","pOPER","FSLong",6.08966484744983
"Left","pOPER","FSLong",6.3085711866244
"Left","pOPER","FSLong",6.59015140623586
"Left","pOPER","FSLong",5.70853604454652
"Left","pOPER","FSLong",6.48194721822699
"Left","pOPER","FSLong",6.2228012507828
"Left","pOPER","FSLong",5.75989417647473
"Left","pOPER","FSLong",6.57827857616443
"Left","pOPER","FSLong",6.66087906156676
"Left","pOPER","FSLong",6.07586941204748
"Left","pOPER","FSLong",6.88874041778974
"Left","pOPER","FSLong",6.50654960477087
"Left","pOPER","FSLong",5.90153198997093
"Left","pOPER","FSLong",7.26625382374185
"Left","pOPER","FSLong",6.24749093079318
"Left","pOPER","FSLong",6.37200381819915
"Left","pOPER","FSLong",5.92961842849035
"Left","pOPER","FSLong",6.87737449106119
"Left","pOPER","FSLong",6.37499378838802
"Left","pOPER","FSLong",6.31237684198296
"Left","pOPER","FSLong",5.94920269099236
"Left","pOPER","FSLong",6.8267308694137
"Left","pOPER","FSLong",6.42863892002388
"Left","pOPER","FSLong",6.03001236703282
"Left","pOPER","FSLong",6.33073878371378
"Left","pOPER","FSLong",6.86810127536413
"Left","pOPER","FSLong",5.48547583447767
"Left","pOPER","FSLong",5.83235393097032
"Left","pOPER","FSLong",7.11179268542668
"Left","pOPER","FSLong",6.1585332141783
"Left","pOPER","FSLong",5.80455347783911
"Left","pOPER","FSLong",8.21871285925168
"Left","pOPER","FSLong",6.88572710392649
"Left","pOPER","FSLong",6.24182462650116
"Left","pOPER","FSLong",6.1645858057822
"Left","pOPER","FSLong",6.253127421357
"Left","pOPER","FSLong",6.96608486469646
"Left","pOPER","FSLong",6.1025574080241
"Left","pOPER","FSLong",6.85554220711747
"Left","pOPER","FSLong",6.14965289368352
"Left","pOPER","FSLong",7.03899441089506
"Left","pOPER","FSLong",7.27798358921841
"Left","pOPER","FSLong",6.03981199158602
"Left","pOPER","FSLong",6.57897231983171
"Left","pOPER","FSLong",6.56292924433584
"Left","pOPER","FSLong",7.3688780404419
"Left","pOPER","FSLong",7.04765626526233
"Left","pOPER","FSLong",5.57573534663503
"Left","pOPER","FSLong",5.09524010639464
"Left","pOPER","FSLong",5.33194584554807
"Left","pOPER","FSLong",6.23080941327214
"Left","pOPER","FSLong",6.33387485002537
"Left","pOPER","FSLong",6.14301176247796
"Left","pOPER","FSLong",5.3463448540084
"Left","pOPER","FSLong",5.1475773517755
"Left","pOPER","FSLong",5.51043355826888
"Left","pOPER","FSLong",6.69497064059792
"Left","pOPER","FSLong",7.01025361431719
"Left","pOPER","FSLong",6.81242692322741
"Left","pOPER","FSLong",6.90146602042063
"Left","pOPER","FSLong",6.45091561330948
"Left","pOPER","FSLong",5.91789193820322
"Left","pOPER","FSLong",6.76716664263858
"Left","pOPER","FSLong",5.94158953910309
"Left","pOPER","FSLong",5.6101094131642
"Left","pOPER","FSLong",6.55653852414327
"Left","pOPER","FSLong",6.4029248906438
"Left","pOPER","FSLong",6.90745708565277
"Left","pOPER","FSLong",6.62648292327194
"Left","pOPER","FSLong",6.99522186330494
"Left","pOPER","FSLong",6.6178082500293
"Left","pOPER","FSLong",6.3081841238592
"Left","pOPER","FSLong",6.85383479282311
"Left","pOPER","FSLong",6.81997448360942
"Left","pOPER","FSLong",6.98544944070647
"Left","pOPER","FSLong",6.33173366082166
"Left","pOPER","FSLong",6.81869919447232
"Left","pOPER","FSLong",5.95447657986114
"Left","pOPER","FSLong",6.13219557221771
"Left","pOPER","FSLong",6.49980455211102
"Left","pOPER","FSLong",6.22522041247908
"Left","pOPER","FSLong",6.04872968514895
"Left","pOPER","FSLong",5.58294812332581
"Left","pOPER","FSLong",7.00944923866798
"Left","pOPER","FSLong",7.21454018456921
"Left","pOPER","FSLong",6.29219304215305
"Left","pOPER","FSLong",5.9483068992492
"Left","pOPER","FSLong",7.0786462840831
"Left","pOPER","FSLong",6.89433364763812
"Left","pOPER","FSLong",5.97341610606393
"Left","pOPER","FSLong",7.25760692535217
"Left","pOPER","FSLong",6.16918198681242
"Left","pOPER","ANTsNative",5.86275500857878
"Left","pOPER","ANTsNative",6.25409892381264
"Left","pOPER","ANTsNative",5.68679180470171
"Left","pOPER","ANTsNative",5.50494019004481
"Left","pOPER","ANTsNative",6.17389420144634
"Left","pOPER","ANTsNative",6.14695098160129
"Left","pOPER","ANTsNative",5.79782478013061
"Left","pOPER","ANTsNative",5.24431064571656
"Left","pOPER","ANTsNative",5.4320490678729
"Left","pOPER","ANTsNative",5.40984395634615
"Left","pOPER","ANTsNative",5.98150299041709
"Left","pOPER","ANTsNative",5.19263317613083
"Left","pOPER","ANTsNative",5.85389851754693
"Left","pOPER","ANTsNative",5.75807166981272
"Left","pOPER","ANTsNative",5.6663764255946
"Left","pOPER","ANTsNative",5.75241851030609
"Left","pOPER","ANTsNative",6.45762983316399
"Left","pOPER","ANTsNative",5.74195383643525
"Left","pOPER","ANTsNative",6.16062400309856
"Left","pOPER","ANTsNative",5.70934944781479
"Left","pOPER","ANTsNative",5.69806528965745
"Left","pOPER","ANTsNative",6.85970926168511
"Left","pOPER","ANTsNative",5.48221411243549
"Left","pOPER","ANTsNative",5.75013139628136
"Left","pOPER","ANTsNative",4.84740173421711
"Left","pOPER","ANTsNative",6.25921291692825
"Left","pOPER","ANTsNative",5.58539996989245
"Left","pOPER","ANTsNative",5.58173501571241
"Left","pOPER","ANTsNative",5.70512244134922
"Left","pOPER","ANTsNative",6.05673603372525
"Left","pOPER","ANTsNative",6.19127775509123
"Left","pOPER","ANTsNative",5.69201679709318
"Left","pOPER","ANTsNative",6.50813797921456
"Left","pOPER","ANTsNative",6.13941044390209
"Left","pOPER","ANTsNative",5.71125576624706
"Left","pOPER","ANTsNative",5.30007461233141
"Left","pOPER","ANTsNative",6.88302269651184
"Left","pOPER","ANTsNative",5.89890999659242
"Left","pOPER","ANTsNative",5.42533676168486
"Left","pOPER","ANTsNative",7.43195309334212
"Left","pOPER","ANTsNative",6.21629465280525
"Left","pOPER","ANTsNative",5.92128628297845
"Left","pOPER","ANTsNative",6.1144465093381
"Left","pOPER","ANTsNative",5.80355300297248
"Left","pOPER","ANTsNative",6.42389666671957
"Left","pOPER","ANTsNative",5.5681765793481
"Left","pOPER","ANTsNative",5.93134771792045
"Left","pOPER","ANTsNative",5.53144315369631
"Left","pOPER","ANTsNative",6.35136010444007
"Left","pOPER","ANTsNative",6.55091489381972
"Left","pOPER","ANTsNative",5.92927953314986
"Left","pOPER","ANTsNative",5.70165049429242
"Left","pOPER","ANTsNative",5.84768378857061
"Left","pOPER","ANTsNative",6.62157425514895
"Left","pOPER","ANTsNative",6.70151560991586
"Left","pOPER","ANTsNative",5.20483040946391
"Left","pOPER","ANTsNative",4.68654102443931
"Left","pOPER","ANTsNative",5.07988825334329
"Left","pOPER","ANTsNative",5.77308603538028
"Left","pOPER","ANTsNative",6.27588780913744
"Left","pOPER","ANTsNative",5.91474971323672
"Left","pOPER","ANTsNative",5.05264909788031
"Left","pOPER","ANTsNative",4.96666304018189
"Left","pOPER","ANTsNative",4.6058990352927
"Left","pOPER","ANTsNative",6.1592986440125
