"Hemisphere","DktRegion","Pipeline","Accuracy"
"Left","ENT","FSLong",3.62247412651315
"Left","ENT","FSLong",7.48653834350461
"Left","ENT","FSLong",4.05073210931931
"Left","ENT","FSLong",4.78921070397822
"Left","ENT","FSLong",3.95906720332948
"Left","ENT","FSLong",2.94153091350257
"Left","ENT","FSLong",3.77524272616575
"Left","ENT","FSLong",5.77042646664808
"Left","ENT","FSLong",5.17539924754842
"Left","ENT","FSLong",5.51797738297084
"Left","ENT","FSLong",4.16003291087747
"Left","ENT","FSLong",4.64952782910136
"Left","ENT","FSLong",4.43264746025759
"Left","ENT","FSLong",5.44101258956277
"Left","ENT","FSLong",5.22126677387716
"Left","ENT","FSLong",3.87615461494639
"Left","ENT","FSLong",6.14812828779454
"Left","ENT","FSLong",4.7306188047119
"Left","ENT","FSLong",5.4308020311944
"Left","ENT","FSLong",4.60563139431297
"Left","ENT","FSLong",3.28253798783222
"Left","ENT","FSLong",3.98080056882875
"Left","ENT","FSLong",4.63523531317943
"Left","ENT","FSLong",4.27398859811437
"Left","ENT","FSLong",3.89133303766416
"Left","ENT","FSLong",5.65863454720682
"Left","ENT","FSLong",6.34395071497067
"Left","ENT","FSLong",5.73161860479497
"Left","ENT","FSLong",5.59039425322313
"Left","ENT","FSLong",5.53108872507634
"Left","ENT","FSLong",4.35915390666574
"Left","ENT","FSLong",4.99626968821376
"Left","ENT","FSLong",5.25790192013355
"Left","ENT","FSLong",6.43403804284891
"Left","ENT","FSLong",4.7573860457091
"Left","ENT","FSLong",5.58818037042919
"Left","ENT","FSLong",4.48441453820082
"Left","ENT","FSLong",4.43029378836127
"Left","ENT","FSLong",3.85473302307994
"Left","ENT","FSLong",5.49516596805892
"Left","ENT","FSLong",5.40632220335378
"Left","ENT","FSLong",4.87725410903707
"Left","ENT","FSLong",5.60708397356463
"Left","ENT","FSLong",4.98104363544161
"Left","ENT","FSLong",4.95953649331323
"Left","ENT","FSLong",5.27059526748162
"Left","ENT","FSLong",4.50583186322524
"Left","ENT","FSLong",4.70786290262628
"Left","ENT","FSLong",3.93052712767924
"Left","ENT","FSLong",4.65823611681032
"Left","ENT","FSLong",4.84208362354801
"Left","ENT","FSLong",3.84827371127464
"Left","ENT","FSLong",4.90570496753968
"Left","ENT","FSLong",4.99681901825854
"Left","ENT","FSLong",4.90441244655181
"Left","ENT","FSLong",4.78782170860604
"Left","ENT","FSLong",3.26604534066731
"Left","ENT","FSLong",4.50133778039664
"Left","ENT","FSLong",5.78154405586245
"Left","ENT","FSLong",5.17612291729127
"Left","ENT","FSLong",5.76082080354971
"Left","ENT","FSLong",3.53357814217549
"Left","ENT","FSLong",4.15064891675611
"Left","ENT","FSLong",4.03813552347125
"Left","ENT","FSLong",3.75453847457244
"Left","ENT","FSLong",3.50662587377754
"Left","ENT","FSLong",4.91585184596841
"Left","ENT","FSLong",4.26422306209856
"Left","ENT","FSLong",4.84367980756471
"Left","ENT","FSLong",5.84080287210092
"Left","ENT","FSLong",3.63990002481877
"Left","ENT","FSLong",4.93735451331163
"Left","ENT","FSLong",4.82106198494258
"Left","ENT","FSLong",3.83000327643901
"Left","ENT","FSLong",4.07309101109609
"Left","ENT","FSLong",5.07855948968794
"Left","ENT","FSLong",4.53867827832237
"Left","ENT","FSLong",5.04736442334897
"Left","ENT","FSLong",4.21937618564352
"Left","ENT","FSLong",5.44497864533109
"Left","ENT","FSLong",5.57501671779637
"Left","ENT","FSLong",3.34251420245905
"Left","ENT","FSLong",5.95021291076197
"Left","ENT","FSLong",4.33443282869532
"Left","ENT","FSLong",6.03419477458124
"Left","ENT","FSLong",4.48419476643137
"Left","ENT","FSLong",3.91234318841005
"Left","ENT","FSLong",4.58723029850354
"Left","ENT","FSLong",4.80169278015667
"Left","ENT","FSLong",5.62165627797456
"Left","ENT","FSLong",5.18720685789507
"Left","ENT","FSLong",3.96618224346025
"Left","ENT","FSLong",4.21791692255836
"Left","ENT","FSLong",5.24561663867159
"Left","ENT","FSLong",3.98198152291021
"Left","ENT","FSLong",6.32831809191526
"Left","ENT","FSLong",4.04365873086486
"Left","ENT","FSLong",4.39979219885681
"Left","ENT","FSLong",4.80730087763003
"Left","ENT","FSLong",4.5310529626988
"Left","ENT","ANTsNative",3.67921470816653
"Left","ENT","ANTsNative",7.39195796779997
"Left","ENT","ANTsNative",4.07055604149469
"Left","ENT","ANTsNative",4.77182144277719
"Left","ENT","ANTsNative",3.90061815917902
"Left","ENT","ANTsNative",3.10934406610354
"Left","ENT","ANTsNative",4.11464194229012
"Left","ENT","ANTsNative",5.89781703837344
"Left","ENT","ANTsNative",5.33070866144837
"Left","ENT","ANTsNative",5.67989892237518
"Left","ENT","ANTsNative",4.52183202638289
"Left","ENT","ANTsNative",4.50183791947439
"Left","ENT","ANTsNative",4.67042848112954
"Left","ENT","ANTsNative",5.70194609921311
"Left","ENT","ANTsNative",5.13513642943693
"Left","ENT","ANTsNative",3.89349512927609
"Left","ENT","ANTsNative",6.13579176277518
"Left","ENT","ANTsNative",4.86489666733313
"Left","ENT","ANTsNative",5.54075738663764
"Left","ENT","ANTsNative",4.48442805889069
"Left","ENT","ANTsNative",3.47864280945003
"Left","ENT","ANTsNative",4.01907839158257
"Left","ENT","ANTsNative",4.76481131291052
"Left","ENT","ANTsNative",4.45251219474308
"Left","ENT","ANTsNative",4.04035226183051
"Left","ENT","ANTsNative",5.66277138372361
"Left","ENT","ANTsNative",6.44522580973693
"Left","ENT","ANTsNative",5.83973316500313
"Left","ENT","ANTsNative",6.27775630941667
"Left","ENT","ANTsNative",5.7318871480588
"Left","ENT","ANTsNative",4.48827511526974
"Left","ENT","ANTsNative",5.07642908914422
"Left","ENT","ANTsNative",5.13757346344496
"Left","ENT","ANTsNative",6.56013039858304
"Left","ENT","ANTsNative",5.00330049288502
"Left","ENT","ANTsNative",5.45985021215038
"Left","ENT","ANTsNative",4.33328091021186
"Left","ENT","ANTsNative",4.63689388062437
"Left","ENT","ANTsNative",3.93650445628231
"Left","ENT","ANTsNative",5.42259407408345
"Left","ENT","ANTsNative",5.38556595242677
"Left","ENT","ANTsNative",5.02030341966554
