"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"lcACC","ANTsNative",0.189134436609192,0.194001685746569,0.197999976792506,0.200203824430455,0.202702595248906,0.206407346324985,0.214090974386343,0.00327324544693709,0.895271986719068,0.937175544827887,0.972825332417003,0.989187342543685,1.00600250677798,1.04481412642965,1.08822369309148,0.0267401613184446,0.288561116775242,0.379774146749441,0.695563035315488,1.28965806148694,2.95527593173311,8.39945570213319,9.60089913831073,2.16593364974684,4.40715670045197,4.64412551717558,4.84309705355794,4.92474131925842,5.0440093742172,5.26284122623963,5.56609869540052,0.155956813180861,6.01563721817973,6.80018209614704,8.47370674824656,11.4107007805043,19.3546336063291,46.7341486737129,52.864844041038,10.8302318990868
"lcMFG","ANTsNative",0.277903511416758,0.286180685042507,0.29208571251862,0.295574930825335,0.298172064723769,0.304807950667989,0.315224229669634,0.00475041885093769,0.867208514777207,0.899935740486941,0.944428798210701,0.960606705116617,0.980076471112028,1.0183493574396,1.06043236962245,0.0281898202648372,0.475088488011101,0.688185230561983,1.51098259091419,2.40810729058859,4.54102082769723,8.64685486606362,11.1065344415789,2.22742058234559,2.89923432438811,3.05595292769214,3.19088520485029,3.2478006219085,3.32760459531426,3.47538486277509,3.6515621946176,0.106448084729665,4.72497546371902,5.56510364456926,8.35974844447836,11.4170693524774,18.637574334225,32.3771618889378,40.8725558818294,7.57522053001486
"lCUN","ANTsNative",0.225890562471741,0.233310762673893,0.238191898027796,0.240567796192381,0.243368672586704,0.248703596355458,0.255736502220773,0.00386784642387261,0.896693653131159,0.934590187585747,0.971099960768718,0.990052555858468,1.00485724557632,1.04243417009479,1.09127018989749,0.0267119165184254,0.313235303802966,0.44032847869166,1.76048670004413,7.67800298362112,10.942037001892,17.4261717451959,22.4753697462169,5.2574354692554,3.60046267315261,3.8585306867831,4.02418183510826,4.11126850403919,4.18387215415275,4.37266679418057,4.58020036822261,0.129532042778312,5.34420860973104,5.8594657557815,11.3783447563597,35.9068554587701,49.9630150935006,76.6912373803789,94.8619759298261,21.8375105434121
"lENT","ANTsNative",0.280696808643371,0.290646936503743,0.296775153045501,0.299176716217767,0.302767461353117,0.30939877333598,0.322824088046889,0.00466236228501965,0.862736276665563,0.909874026039043,0.943777376806395,0.963079607284137,0.984106627516451,1.03074028492868,1.05538639392866,0.0311189189999965,0.43428914352489,0.562022803792604,1.09656237067128,2.54819787098046,5.03751391004043,16.1586938840204,18.9282155244684,3.88011463010095,2.85934564385305,3.01285828400633,3.14057969773654,3.21227398045635,3.29259671628866,3.4517403483757,3.61032225685146,0.117909576627657,4.4397406497293,5.06885728908249,6.88791347380512,11.6573849363659,20.0673771544346,57.1858835736276,68.1891439119215,12.941608511343
"lFUS","ANTsNative",0.219646914865867,0.226980077649161,0.231850733670568,0.233918371532396,0.236479426490217,0.241880652820518,0.247757526593448,0.00372693124856182,0.897590096602978,0.935993838108466,0.970807925946128,0.990286036860083,1.0065079985427,1.04210722028596,1.08648191934025,0.0270606880554679,0.311335135663187,0.465085871014648,0.940195387447871,1.30221173763327,6.03699214603066,29.4060334961887,32.9237598956961,8.32911022315558,3.73129046325226,3.95634659900148,4.13077449624912,4.22993547922679,4.30993696893963,4.5017134890837,4.83184372263075,0.135763136945275,5.28625530537698,6.21262848220837,8.20749293571532,9.80285861969134,30.3222534518303,130.24063647008,143.114858045206,35.5358361112267
"lIPL","ANTsNative",0.208895953032246,0.21399295311164,0.218574282734875,0.220611352591915,0.223203754906104,0.228050914169971,0.233960149028841,0.00353508038394123,0.906716472510306,0.940304124308681,0.967379371524429,0.986885168160186,1.00571616558215,1.04334744690793,1.09207615204796,0.0267540149617677,0.151867390790818,0.202971925853451,0.751410985134849,2.51815458374079,4.65053860588574,8.61371300163017,11.1874323523442,2.68726796655795,4.06048933626005,4.22169575388783,4.38360509440776,4.46665377913997,4.56503828737542,4.75827299253451,4.98643018669139,0.13639128307579,4.8921354824423,5.37529853904801,7.86010169328235,15.888393520979,25.5472863769951,43.5058614589993,55.3693663700681,12.1874923563157
"lITG","ANTsNative",0.292740883979202,0.30085709451083,0.307171453195617,0.310066239996692,0.313587595517861,0.320585080607178,0.331692726443985,0.00504479455422403,0.88390536832613,0.916751583260246,0.944960735200467,0.965137611333793,0.984700935318293,1.02222132054872,1.06311215077893,0.0274490773410453,0.399787808434045,0.489169960815644,2.17963002435214,3.84213921243264,5.24517198380073,7.83526783939528,9.23368634064674,2.16246917041003,2.80100229676883,2.93053952593579,3.03896323115439,3.10653695214453,3.1835710884908,3.32260483540885,3.49725917586859,0.101136746797211,4.22576780712634,4.72446425604214,10.1668535828481,15.4980294183621,20.0641385992841,28.3653336624336,33.2770158967791,6.98840686770908
"liCC","ANTsNative",0.206218491700359,0.211248013532002,0.215627981225367,0.21832746000215,0.220798706719028,0.225623603059568,0.233018523207085,0.00365015644418338,0.902321034554363,0.935799851615556,0.970482133042811,0.988917524495047,1.00950711280185,1.04195261647788,1.07396604056985,0.027045454246966,0.242902754304907,0.317294062344342,0.956593441928313,2.6343760759374,4.76838422237497,9.90787470062787,14.2486172472896,2.84487660894798,3.98693635852042,4.24047317791247,4.42769216378093,4.52819695225167,4.63739659895499,4.81168902280292,5.11521709355263,0.148646844786499,5.51444671037194,5.95589082176666,8.89060707257938,16.9323007560412,26.3334048551745,49.889507800088,67.9721853685122,13.0044104851462
"lLOG","ANTsNative",0.255286906808589,0.263341750293606,0.269065403313195,0.272078426769175,0.275545302451277,0.281670232660902,0.288333780331402,0.0048967479985913,0.892894901506582,0.925850594100392,0.958551398997937,0.975277304087085,0.994494151720045,1.03147210810249,1.08181658019268,0.0274660027880394,0.580428625349173,0.989629862016445,2.7806905707582,4.42341856503322,8.57773202683748,20.169707242483,22.9890292620995,4.89238375961444,3.2482532057782,3.372748626166,3.494948534444,3.58212832538061,3.66814827560715,3.82405829823763,3.98646090823077,0.118593642200579,5.73072655274161,7.20442849851688,13.8917133979528,19.8790038181861,35.3107998124161,77.9585941034818,89.791757554013,17.9011846807761
"lLOF","ANTsNative",0.227564279727608,0.234690554911181,0.239461882935319,0.24232319377435,0.244632383923477,0.249703095932078,0.258094335002161,0.00393129933930089,0.889144643461888,0.93679761311933,0.968136777564266,0.987447608772897,1.00274478705463,1.03854426235306,1.08516037247305,0.0269002700446593,0.526642808976101,0.772513107994552,1.27980070864994,1.84231994882285,4.17620906985689,6.37490791453559,7.58329793108377,1.74870609414772,3.64481270480848,3.83882574783166,3.98820579110196,4.06289734237623,4.15205670610866,4.33257685342602,4.54546233444052,0.127127627590715,6.02203021141805,7.20842046015711,9.36543894015428,11.729778602356,21.2984515752641,30.5857817712165,36.1754749522977,7.24296690068119
