"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"lcACC","ANTsSST",0.113886999736825,0.118703629448286,0.121754979487172,0.123451711449164,0.124931790729222,0.128056985373725,0.132865557601819,0.002405184364054,0.905237666928659,0.941164226196069,0.97549900043125,0.992975435274311,1.0104628447378,1.04801511222706,1.12044515948636,0.0271625045109823,0.00337199476720629,0.0039995343623587,0.00450011604133679,0.00476251631222189,0.00503668633180631,0.00555663245387771,0.0062445063005849,0.00039629355775677,7.18378488054763,7.5456611333091,7.87068174944044,8.04315253092768,8.23012517162179,8.59377620529748,9.08252972406776,0.270593815192666,7.21783491839077,7.58296989580718,7.90865932852897,8.08173136367318,8.26878162833086,8.63523857896359,9.12419151125564,0.271702027731203
"lcMFG","ANTsSST",0.19567861461508,0.20162582855937,0.206704304967993,0.209316262872562,0.21208804763874,0.217984757173954,0.223703259257174,0.00412738361962185,0.894699532496753,0.935080578137969,0.96749090640935,0.985871540444152,1.00463977522882,1.04214944641146,1.08988531656431,0.0273181927860033,0.00149939212590062,0.00239519001559226,0.00402051346282592,0.00458174371194768,0.00513580214890551,0.00616069810190497,0.00790536357441271,0.000908111439660261,4.15138388207424,4.40197264067485,4.60450431038627,4.70809655879099,4.81911360141882,5.03567207246318,5.44439515415994,0.160155001128099,4.17323266953987,4.42040584112041,4.62473495759418,4.72934093030544,4.84190911574322,5.05934977011776,5.47368243762469,0.161492729303472
"lCUN","ANTsSST",0.16580664402313,0.169348280855498,0.173447830245533,0.17562582403916,0.177966357259377,0.182358900547179,0.187126516667745,0.00332787441896265,0.910664969088557,0.94489266497387,0.979777259192233,0.998668821428021,1.01874171420705,1.05847492552836,1.09851702425342,0.028586645913861,0.00162751397824072,0.0021657336343588,0.00300545140422507,0.0035134355041554,0.00401238085720932,0.00485962340545885,0.0058563699552735,0.000708699688395076,4.98422532403798,5.30294555346818,5.55797696694893,5.68676624526168,5.8191700321457,6.09410717001606,6.40294531415225,0.200236574605475,5.00259765523888,5.32030665976415,5.57679589468038,5.70827648356714,5.84091472548786,6.11740185582652,6.42144798020461,0.201387622993477
"lENT","ANTsSST",0.223169038640404,0.230274371518382,0.235893140070817,0.238976822878375,0.241952052810193,0.247919566640241,0.256371550956455,0.00450334905131292,0.888699749778401,0.919007063424923,0.952006382112148,0.971206215843766,0.990551401746379,1.03037484902339,1.06470713838668,0.0282440455110947,0.00257884685232252,0.00381750691287254,0.00486921321045832,0.00545281186488563,0.00604967938499994,0.00700967302517631,0.00818308855066136,0.000845357572490856,3.64996462772295,3.80892969792801,3.97232847605137,4.06367088794255,4.15841250691606,4.34949853594618,4.59384977132217,0.137571769741582,3.66553003520782,3.83121380846774,3.99424310341105,4.0867706507924,4.18031516405243,4.37299724374709,4.614583210827,0.138410892988267
"lFUS","ANTsSST",0.146580548845314,0.15049345449799,0.1543023040682,0.156098535723288,0.158111634376183,0.162159430027582,0.168496868393505,0.00294937603262081,0.896391981107446,0.940028510600906,0.971674995584508,0.990634976171276,1.01109994956382,1.0502637556584,1.11070973430455,0.0287173563510713,0.00295547724997237,0.00385098298725034,0.00453567857173449,0.00489677777281448,0.00525050338598255,0.00589613072096307,0.00664297779441749,0.000528280416511536,5.6412967747122,5.94499256659062,6.20030804716455,6.34318279721501,6.49371719330989,6.80449648047018,7.20191141494932,0.216426231822065,5.67319333160771,5.97443110144622,6.2324733398962,6.37556050017771,6.52585773331007,6.83535458926418,7.23891466908639,0.217343589142847
"lIPL","ANTsSST",0.157942594652582,0.162356461974708,0.166299325441212,0.168427033606641,0.170570935615609,0.175064222833638,0.179344066285567,0.00320076509751107,0.89315097433649,0.939645246205042,0.97480150725042,0.992301392836783,1.01021205841074,1.04951469273095,1.09584778470368,0.0276647592773989,0.00274343040492357,0.00393906045828324,0.00462460685565843,0.00499590340971802,0.00538964647214746,0.00610861234128003,0.0070830709182599,0.000559157205184063,5.2452953263699,5.52112246311125,5.75954588213354,5.89317275773441,6.02698735002811,6.29605717566878,6.74842298101402,0.199481576965832,5.27259281234297,5.55070934562464,5.78900344600775,5.92290127655893,6.05690402152737,6.33032966337194,6.78148969534895,0.200495139149452
"lITG","ANTsSST",0.19868734271401,0.206550797031266,0.21178406144375,0.214414266227348,0.217039579915152,0.222438089170643,0.229655039428165,0.00404865950410206,0.88309821722849,0.932770161424719,0.965198774511233,0.983933291106282,1.00225266756127,1.04016242416449,1.08454117987098,0.0274530792942706,0.00426788317965921,0.00530475630718181,0.00631841193090398,0.00677725945451723,0.0072437939025341,0.00807496327115476,0.00929603356392791,0.000699265855372312,4.11738261239804,4.30640121853873,4.48651849248305,4.58644319199826,4.69644853375633,4.90181536058824,5.33190578856797,0.15519631505693,4.14757749542148,4.33508001914599,4.51806176697895,4.6176807946391,4.72840322229465,4.93583439103559,5.36500882249884,0.156075768854107
"liCC","ANTsSST",0.12299982739618,0.127240854997152,0.130405829969399,0.132077971248051,0.13387543567012,0.137362599389045,0.140947586389582,0.00257488894885695,0.908717960755633,0.93490428493527,0.969046503266547,0.987061334786825,1.00490466654932,1.04162834180529,1.07200028157857,0.0268820619964194,0.00503206946332958,0.00568728128472635,0.00619387206627654,0.00646386070614356,0.00674045812833534,0.00729965288595558,0.00805982360855099,0.000410754202122594,6.61551381635861,6.98326496343481,7.3066133008186,7.46972865527462,7.64108888045966,7.9756010387087,8.29991381085489,0.250556166309289,6.65834215367141,7.03295780608511,7.35313848179214,7.5184533569064,7.69060729139004,8.02794918683587,8.35433005001049,0.251662532679034
"lLOG","ANTsSST",0.197934180443408,0.205217853347546,0.210811501484804,0.213524037548083,0.216366940575005,0.222193518242352,0.229261517022491,0.00424249697984439,0.870383177663985,0.930780251198986,0.966139524155384,0.984112299461157,1.0025987096074,1.04148861082136,1.13143427401314,0.0281774452185729,0.00319511362359329,0.00419647729326568,0.00516335858744715,0.00569910020449496,0.0062826799981742,0.0073489972492829,0.00865755089962076,0.000808218716363396,4.00818755674229,4.29982481415807,4.49942031818259,4.60891299298105,4.71775502825141,4.95968790214648,5.32604377839403,0.165590039475659,4.03430855606669,4.32211180096636,4.52642553700478,4.63599799088787,4.7456646348556,4.98923020639733,5.35251968033063,0.166959609028524
"lLOF","ANTsSST",0.176235788385163,0.183389850274957,0.188113509863157,0.190590409307611,0.19291675509179,0.197640607739051,0.204941884639935,0.00366529726183648,0.906745968148521,0.939205592771661,0.970703454929089,0.98865820924266,1.00665747430218,1.04423913577734,1.09428224872435,0.0266184571514369,0.00289968226763275,0.0039750088146262,0.00487780082393999,0.00534306060776663,0.00579061059135459,0.00659308331502012,0.00750726604381658,0.000672349535954028,4.64767183702866,4.87477466137104,5.0778978410821,5.18801785543216,5.30689756646069,5.52871307344572,5.89676012273037,0.17044385168428,4.66746023659181,4.89921807897222,5.10553652447938,5.21667506467351,5.33594874517442,5.56042310241362,5.9267560141106,0.171529021240174
