"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"lcACC","ANTsXNetCross",0.28445597542963,0.292415267028797,0.299163835736289,0.302672899728451,0.306587639235285,0.311932840333136,0.321583384827569,0.00498040072211939,0.873510247109229,0.909585188755551,0.943041116425753,0.959123751863656,0.975922059639849,1.01103708440234,1.06010119353619,0.0256280999888998,0.107064045154045,0.132874954875734,0.291617549633313,1.89664983674621,3.27245696942195,8.33383259841811,10.7394295675673,2.25657753384426,2.85718936242138,2.97818867238974,3.11337392378078,3.1636904627168,3.23703527771798,3.38769107656113,3.63753977876978,0.102061321820328,3.3142914103283,3.56497182076939,4.11335087321358,9.41457433465935,13.9891801265062,30.8200231763679,38.6042820044882,7.47688108906464
"lcMFG","ANTsXNetCross",0.40450711905981,0.416742947548962,0.425956380667531,0.429079006765849,0.43409682449866,0.444592673443431,0.455504298553369,0.00687915926122826,0.811283251930461,0.850712700465896,0.885340963070915,0.904085258506684,0.915889400203626,0.950591365398707,1.00608172730374,0.0248193668623715,0.200400096000633,0.277681472488605,1.24026109210549,2.52385094960976,3.4818832217132,5.93669441481014,7.00731179144724,1.54759299434246,1.84148383233494,1.96081310230298,2.05316288218368,2.10505813855806,2.14378181975295,2.23395558152601,2.37252790566663,0.0689492052509523,2.45692460384348,2.70341942734207,5.00505633813378,7.98499393217989,10.1648827094615,15.8920725490688,18.3574669935322,3.60175458332668
"lCUN","ANTsXNetCross",0.409963364516648,0.420753566158919,0.428542542133362,0.433097392688992,0.438055112185039,0.447638575928368,0.462153795747167,0.00682324926052779,0.831078603234622,0.861952384670972,0.896171671077074,0.915612991288471,0.928672110087971,0.966345023280516,1.01791271284998,0.0259011970516158,0.175467623790289,0.184448275855954,0.738527670948947,1.65709926851435,3.11175219502966,7.48386736274072,10.0594238735295,2.00319080438995,1.88286008186265,1.96593566782115,2.05918804743132,2.11281906769595,2.15241182757234,2.24903569974725,2.34245517126145,0.0707580715104749,2.34820858803758,2.5102911069356,3.78205557034339,5.93008948211284,9.25646660074834,19.4733005022134,25.4035293828932,4.62036846513793
"lENT","ANTsXNetCross",0.393423996348603,0.402011550407084,0.410523208114945,0.415355889568292,0.421146960655728,0.427912265862935,0.438797071076595,0.00713398386787463,0.847286367954103,0.876223968152885,0.909554499251439,0.927980185205796,0.94138960795468,0.976641231707764,1.06202305605834,0.0254930928483539,0.298311167531966,0.388421946244453,0.648213934009022,2.34657168484412,12.0096722547857,27.8027203305379,32.9716280300742,8.58913223454932,1.94413545097822,2.08910105541524,2.18597883721771,2.22199119086076,2.27923811284091,2.38390733840895,2.54270743895578,0.0742963873865893,2.7899537606789,3.15619885463801,3.80223550730933,7.83210566642655,31.5645543401247,69.392229169263,82.9607197281702,20.7532892752278
"lFUS","ANTsXNetCross",0.340359479634971,0.348940449433987,0.356534431796051,0.360452806358608,0.365427611169328,0.373571625348988,0.382274916917828,0.00689773429551471,0.860413643938872,0.895834524383831,0.930149042065182,0.949334099906624,0.971896057172153,0.997670893823988,1.04520797893867,0.0266616413546393,0.591999498312262,0.901951339123064,1.4099090345279,2.89035441106346,7.64027360464149,16.7023499040029,26.0307780714266,4.80664730970135,2.37214707311476,2.46544183723313,2.58055468852075,2.61700160448472,2.67745746461129,2.80205863071748,3.0025010409895,0.0825018770330417,4.24120130864979,5.04180339105377,6.56300400512853,10.6642438206852,23.7223021835676,49.1996414195682,75.8840484204552,13.3726666388813
"lIPL","ANTsXNetCross",0.347723600235753,0.354054832121263,0.361791043909897,0.365487219173647,0.3687947931301,0.376390910297148,0.384725520034001,0.00557353296855327,0.857642950384836,0.889093373649268,0.923139494924563,0.93780101796189,0.954400375944322,0.991595699696079,1.03477866117099,0.0255155075479318,0.0752774075856578,0.10598802323019,0.895444886499991,3.75005240435649,6.86189235120817,12.8058088814956,14.6388912599875,4.05221557305928,2.30846686903211,2.41508316698219,2.52117297237809,2.5660443679667,2.61883398405244,2.74082984269461,2.89534254836735,0.0810969288603242,2.6627630042661,2.84914786274163,4.94704938211845,12.843750340138,21.3571494585553,37.4990793845505,44.8329872683187,11.0802604765718
"lITG","ANTsXNetCross",0.386494190622949,0.395077182675297,0.403247361733282,0.406927158986836,0.41146188981896,0.420535669679489,0.431074303447901,0.00639355252419511,0.825829605077017,0.871221756065087,0.905934662423229,0.92547303514675,0.949454353046495,0.977036185577729,1.01797576698352,0.0279733176185707,0.1100659203675,0.130126100334264,0.21757176082294,0.593092560541788,1.89655025019825,5.75685794931642,9.53897838057047,1.53377993691282,1.99238473530294,2.11699532824157,2.21435277813209,2.2759662574645,2.34058707847971,2.41854638081585,2.5562063130193,0.0796810728238385,2.37365492468163,2.54816590788344,2.8079570095588,3.73230005823353,6.91148144614319,16.4558117463848,24.986583607614,3.76673314047245
"liCC","ANTsXNetCross",0.323917740024959,0.331588505798001,0.338736823998413,0.34291459285322,0.345374718702958,0.352865527425039,0.362552070871222,0.00528748083280567,0.865695925429875,0.897972923184761,0.932110574740199,0.951325320472432,0.963607987310187,1.0009503695584,1.06066065463733,0.0254839672394653,1.36353276279033,1.7102829982459,2.63821249123286,3.3564541058971,4.49998436446816,7.9238481967045,11.0343147699483,1.60596645096955,2.4461564849673,2.60556981009084,2.71928339575598,2.77977466075594,2.82476584736474,2.94706934517972,3.11817358305941,0.0858540261094292,6.79706626512782,7.77304512931311,10.4757487805725,12.5617972418538,15.9948064107578,26.1180801785255,34.3238445248256,4.71440223259603
"lLOG","ANTsXNetCross",0.353797160657896,0.362023960133889,0.368903318948599,0.373429623539848,0.376423485313794,0.384430009322116,0.396187525715352,0.00574527050809935,0.859300638410642,0.888933541922342,0.922189638160552,0.938814487097373,0.954404390200409,0.993422408064009,1.04968444536488,0.0259186725675432,0.552095377195609,0.745732110528991,1.9041916446073,3.51982762256855,6.24539434350868,13.2469202497978,17.1605372515823,3.46237562678928,2.23382416666917,2.36408228282125,2.46913202821139,2.51275997636566,2.56557280920861,2.68968391299557,2.88901755016953,0.0809213638161219,3.89544226190685,4.50201688385988,7.60882845796947,11.9034847106861,19.1650167509397,38.3444672439581,48.1402234460244,9.29033301230464
"lLOF","ANTsXNetCross",0.358507683874416,0.365867314564724,0.371556967679114,0.376696398122698,0.381397212794542,0.389687604693217,0.40077604045448,0.00654382292905652,0.853920711274932,0.887282372410369,0.919475725545934,0.937573797793129,0.950758517684375,0.988502556788295,1.02690224209849,0.02512852474633,0.97302050680208,1.31679072660533,3.0695710829721,6.32156000712205,9.63410731604192,14.1815447951951,18.7465239261574,4.09801645312714,2.20044246267281,2.32623847809382,2.43105805188937,2.48591519011351,2.55537816002666,2.63795204377657,2.76580293390815,0.0816454268459165,4.95540616153683,5.94086747375815,10.6236564978659,19.2827864142139,27.9518009126567,41.0537639713599,52.6626280089235,11.0301390726669
