"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"lcACC","ANTsXNetLong",0.174351257529435,0.178854701670541,0.182670707489602,0.184379020463268,0.186580697080038,0.190678528852849,0.195242078712601,0.00300701852726523,0.90909756481018,0.943062734916731,0.976188774654323,0.995671766691087,1.01091287510465,1.05119075875967,1.09569111267812,0.0266402057262572,0.432246079534537,0.575868491975528,1.26239329350264,2.52605706700504,3.955963835203,10.2799091557904,12.3205847223739,2.71802718517245,4.80335059029105,5.06558254080754,5.26784345053961,5.39336647215205,5.50078687984441,5.74547604949998,6.08361946621151,0.172871415789329,7.32167685200035,8.52279948582285,12.2211867011824,18.9454426814882,26.9634704340913,61.0765695803267,74.2189255052517,14.7285600051617
"lcMFG","ANTsXNetLong",0.20698308504536,0.212701284935305,0.216667060353084,0.218973763426526,0.221227262750765,0.226173463006462,0.23183664644939,0.00346740963924677,0.929426076546083,0.96828287111081,0.997896961844733,1.01514341692178,1.035175895541,1.07255435906621,1.12113539644277,0.0274070512443199,0.113010400337078,0.134286099994778,1.00778565889929,2.26945758483374,4.25621025763492,7.38038728708205,10.9042969743074,2.07117341203236,4.15799899504036,4.38032441393648,4.54953543240224,4.63673755382457,4.73529078156515,4.93786266227498,5.14556071054818,0.144051295062158,4.96307178578977,5.20288462234501,9.15017161014951,15.0155964097938,24.159899742208,38.3871586844898,55.9419494392632,9.47546838086848
"lCUN","ANTsXNetLong",0.189331560984427,0.193725021309945,0.197656022651025,0.199684114376344,0.20184248841566,0.206550803472473,0.211755875545258,0.00324629990931686,0.940770529467839,0.97382705333994,1.00536291502537,1.02301110662853,1.04311394562927,1.08208812313344,1.12111556380685,0.027367330191632,0.200849209676305,0.245458229979083,0.525225643987538,1.73701914644222,4.31406473629809,9.90612400905678,12.240357843918,2.81900519524581,4.59067975753664,4.82278180020936,5.02688595813322,5.11693488054567,5.23616644874277,5.46612479962883,5.70537200714235,0.162797366244966,5.82710553021264,6.30764310798145,7.75967991081988,13.8340323656733,27.0537839461239,54.5555092736658,66.9475895588667,14.1124049862368
"lENT","ANTsXNetLong",0.250929727198733,0.258226778678623,0.263063175664927,0.266137746791541,0.268977149619122,0.275155094869754,0.282501554100034,0.00425007715341282,0.871668165105971,0.930386329951631,0.965418389433049,0.984818820152918,1.00179826431141,1.04259801908074,1.08811139517749,0.0279994351070668,0.20747063930638,0.286434414602657,0.728214359238968,2.84555906789818,4.12574404062683,11.5404328595666,14.1424537106686,2.74730128541286,3.23717085226225,3.46585502841479,3.61522700265559,3.69866515932732,3.7701938695588,3.94697855015613,4.2028199623206,0.121437312072429,4.27981948618288,4.73868643681694,6.43151212263649,14.3469535766577,19.4257075936776,47.0245209310225,56.6566037988798,10.325569760689
"lFUS","ANTsXNetLong",0.180226461818574,0.185730797790286,0.189517944183334,0.1915395604595,0.193835147776612,0.198199129200748,0.202399749950643,0.00319781660927795,0.897829865929459,0.943609509212265,0.978728340696495,0.996833225584429,1.01704834981466,1.05120465555412,1.08875016273031,0.0275584881112227,0.465753078347072,0.607540342732063,1.29075894787293,2.57881975096674,3.73797445336664,7.80540872732677,13.0089654789665,1.89088768433407,4.63918243412492,4.88050129406642,5.0853509516411,5.20285883031204,5.32378825856922,5.52549859836915,5.80302459977578,0.170083223463723,7.54926723128852,8.38842422890594,11.9469733228116,18.5594840362801,24.7386053654036,45.8681851604216,73.3738130536785,9.87695394200925
"lIPL","ANTsXNetLong",0.19504919172197,0.199990743780975,0.204272582786646,0.206758285901186,0.209144456833963,0.21333495580509,0.219529901972883,0.00362099808141745,0.904540708072547,0.943808140732906,0.979349930756208,0.998347929275597,1.01960625269745,1.05296920202646,1.09656415482143,0.0287013214995752,1.04898325502357,1.61722979630627,3.24146689285843,4.2956436363732,5.37972506718016,9.4924173478956,11.9112652261197,1.80441603416828,4.31410850520495,4.53134771034563,4.73067349590814,4.83771029450984,4.93368479957015,5.1436095495064,5.38334522026983,0.154658631182435,9.85790329710439,12.6604343068254,20.5447182253217,25.6479724414925,30.4200358455476,50.6977403918825,64.1131501124406,8.75583791722038
"lITG","ANTsXNetLong",0.220291340873169,0.225340756721351,0.229944066737578,0.232642046332735,0.235538210087986,0.240266955853257,0.245931666929644,0.0038474781832939,0.892555099384809,0.930161309256239,0.96639742441703,0.983790196687678,1.00071029641899,1.03845320388261,1.08384920297478,0.0267910747330302,0.82739972317327,0.985340390269183,1.74807464227687,3.10509601682196,6.3992359353168,18.8645071073526,22.2603481452779,4.42805302170989,3.81596078098388,3.96753484650442,4.14501518241746,4.22001753626478,4.31277139168563,4.50306607309302,4.8181439609177,0.132812263835042,7.66604807541998,8.49725991501232,11.7214953350154,17.4974237938921,31.6983417285283,85.6288396910515,98.6664081520353,19.087829050849
"liCC","ANTsXNetLong",0.16810205894535,0.172694123989122,0.175756573218958,0.177843832761079,0.179983555105107,0.183773738667576,0.189116579830888,0.00299801982755731,0.908354137343454,0.947386321624076,0.981513395692101,0.997204497911722,1.01586075928091,1.05621740139187,1.09779767530331,0.0271415006270485,0.353143978553549,0.471522249507573,1.43108010010774,2.01828106194984,6.07889785811284,17.5445310321032,22.1738320514957,4.97783347373586,5.05049377815597,5.26849416765793,5.49703961649751,5.61964362335102,5.74346871283806,5.98141168853504,6.30853945601955,0.180388393168133,7.39194723744669,8.33363210115041,13.5680800398988,16.9972331643418,40.1097972374274,104.049698621292,129.741402920945,27.9639034519511
"lLOG","ANTsXNetLong",0.2120591300543,0.221626572629893,0.226115330773683,0.228527515809401,0.230646007708546,0.235729920002164,0.242760752087871,0.00354900168185921,0.901148752643472,0.936929564770356,0.965527303105415,0.985175053734465,1.00495837932358,1.04395459141475,1.09226496731687,0.0277658828625268,0.456712649450462,0.642057846983776,1.09941761513954,1.8890472254958,2.99438103305618,8.26906143111055,10.2821708526949,1.95087142951539,3.84075478727943,4.07059831621054,4.2149991647677,4.31515826232091,4.41359190302351,4.60724496456912,4.91169978448594,0.139685894205782,6.35494912981393,7.13313949774228,9.13258017273747,12.6029783189194,17.4289183923775,40.3697456400529,49.2086935752891,8.53588838407883
"lLOF","ANTsXNetLong",0.219607481377828,0.225672769943501,0.230337140601907,0.233004512203353,0.235595428304861,0.240317648343888,0.24637603571494,0.00375428782117331,0.89920873364963,0.940158568641012,0.975038176177572,0.99414864762265,1.01431370722704,1.04916833262489,1.10264104903378,0.0275800960903083,0.182682355065638,0.226211478042482,1.05374023257137,2.28213017930379,3.71896038998299,12.1502641913848,15.8157253425935,2.74419266955123,3.82753106484091,3.99613238664991,4.1749420027882,4.2705960330743,4.35219045942083,4.55033212003439,4.82939989616805,0.136206439918393,4.66992156047275,5.26423332348148,8.80680518717645,14.0127923917996,20.117759988087,56.8246729052115,72.4290246191553,11.7893358558456
