"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"lcACC","FSCross",0.350839960283518,0.357647489852662,0.365682198043168,0.369905701630183,0.373960257092207,0.382279028024277,0.391106012034841,0.00621649210522817,0.858727887554759,0.894979545330399,0.927087228651009,0.945128624182715,0.963165789826573,1.00218011840198,1.04507647533938,0.0270800967595689,0.156669818930386,0.191490455383184,0.606278201400884,2.5410090057242,6.18196596119295,15.4615701209107,19.4631337243847,4.60075951373638,2.2892243501973,2.39412797606512,2.50098068436233,2.55613875542743,2.61126637220224,2.734160474129,2.92079079943682,0.0850231558316679,2.82777206140143,3.04764620107126,4.19107464414232,9.41941985732619,19.2685146338475,44.1847388027369,56.0655921417545,12.4405880084537
"lcMFG","FSCross",0.408774311252983,0.420051278800306,0.428224885598988,0.433137223221546,0.4380492343158,0.447455167136763,0.455960831047595,0.00708022361517783,0.820928684469102,0.855042887806886,0.886888034418066,0.904557952939062,0.92262121601262,0.95870641463374,1.00000321015447,0.0264305149995056,0.431798562547004,0.558816114803083,2.07400822035271,2.61082439966742,3.11402960758034,11.0414095883109,15.678173259058,2.45375137091187,1.84574330944946,1.95533757505218,2.04052815519971,2.08892476945788,2.13707819835688,2.23289900716172,2.35716784639591,0.0713255749030434,2.9945000647449,3.3664926405972,6.85094418238726,8.1079512437095,9.28152787137627,27.5903439297503,38.0284353368558,5.66668690446779
"lCUN","FSCross",0.374527754304429,0.385664165759706,0.39340681383951,0.397926931316689,0.402284085135868,0.411637289894245,0.426017590978122,0.00660654560971949,0.837681287400858,0.878039531808947,0.910007972248379,0.927672670741562,0.945897977781334,0.981102834168788,1.02423498641519,0.026720068497627,0.505936693388994,0.710498606407968,1.37918469408593,3.15455915084826,4.52539810720407,8.22940195525984,11.5327251809181,2.09293546980548,2.02727893492245,2.17899083333165,2.2790647756097,2.33227645723169,2.3855682452571,2.49035692265586,2.63083360874516,0.0790385519294749,3.5653898665113,4.08932990217003,5.80319799008622,10.2644978820344,13.6797216946683,22.9281002632231,31.4235636948481,5.26366631423756
"lENT","FSCross",0.313844863351234,0.321898497127331,0.328757016117801,0.332562175337958,0.336359228708701,0.343431386121654,0.353710771899514,0.00553119872007357,0.861264828263414,0.898549270052313,0.930763471496521,0.948508327877836,0.966549202871473,1.00200638341571,1.04474147191649,0.0265282323828067,0.440109085398178,0.76709076782535,2.98248123926988,4.88257982825391,7.62281251596279,23.1261599704441,32.1794759617143,5.32235157582713,2.55869559517676,2.67670726075242,2.78955971349822,2.8523016131191,2.91478742344272,3.04384044600633,3.20349002139632,0.0941323911837278,4.04442631685872,5.160246936834,11.7849355734285,17.5283701245763,25.784121665856,71.9173825566148,104.167494438781,16.0329058943178
"lFUS","FSCross",0.324288169179383,0.3349131704621,0.342063188332501,0.34600283943231,0.349920273427385,0.357428805584667,0.367060642379867,0.00580730563576472,0.86684926828769,0.899006167590359,0.932541683391612,0.950422739624671,0.970131531273143,1.00927344763353,1.06455241166227,0.0276540548206413,0.552829966845933,0.777723645920975,1.33313197192615,3.29782161186585,4.72082231179993,11.2192169406052,15.1857588475056,2.74722274829651,2.4412556310917,2.57694394912009,2.68630766784552,2.74680108772225,2.81189836173165,2.94087023051709,3.13066240506866,0.0935502557291382,4.24901620742366,4.96840142828943,6.61659623366164,12.3047030323865,16.3743611640848,35.2699824742209,47.2847581704513,7.94026078109569
"lIPL","FSCross",0.340431615915946,0.350191540118976,0.357331979370077,0.361209445324071,0.365434875932627,0.373309820390597,0.3810066928984,0.00593533175113855,0.860376437287964,0.900882429421911,0.934702939132101,0.952675006317083,0.972135659537332,1.00979873258966,1.05552808260424,0.0277543058699069,0.50804922670632,0.710592544641074,1.49641542240914,2.31017325985966,6.00106248509347,20.3765091693243,24.3496614593793,5.43749870641727,2.33505693467863,2.47256462001604,2.5779776491671,2.63704309000918,2.69909388716194,2.81932006717296,2.96846877117349,0.0895229510013765,3.88835168228015,4.58972725882852,6.76047598957657,9.04322641380621,19.312178882649,59.3235828612552,71.549162832578,15.059227516492
"lITG","FSCross",0.318954195861353,0.326830297338634,0.333561587798063,0.337254606184003,0.340980553776226,0.348321791624037,0.356572413369216,0.00548046057736773,0.8570501533626,0.904146305515064,0.93918344201149,0.957312521007877,0.97641305614991,1.01419440836068,1.06402464002427,0.0278382427871158,0.0678266021940692,0.0838197535112769,0.798884479186127,3.53775047267308,10.924060920157,44.9359548237366,51.6404232291214,14.2429245017165,2.49370001610131,2.65450873881117,2.77463695763221,2.83760034793472,2.90658714422511,3.02851157475405,3.17039627041189,0.096249708272927,2.72635227634788,3.06064688555475,5.08157694919899,13.3300730827775,35.4255010573801,135.978052389538,156.415473798814,42.2120588260453
"liCC","FSCross",0.355370390100226,0.361935034860558,0.369550800917573,0.373837886241745,0.377997327358246,0.386205452331101,0.394532902881521,0.00616996618422311,0.822267445676772,0.880187561258346,0.912440901651401,0.929330797969399,0.947747817406144,0.985541694899383,1.02639494592211,0.0268739141313875,0.524243762939414,0.870874034098772,1.91989287741606,2.84161815437466,5.1978937157186,10.7241041156829,15.6093073782005,2.57096953557845,2.1540022075128,2.32866909082754,2.43373808220862,2.48710668620102,2.54194942266199,2.66052220980495,2.81490614957181,0.0836687395289448,3.87135282895258,4.80051455875996,7.62284325977813,10.1338225244715,16.4230802131283,31.2205083997599,44.7591263237728,6.89137548593575
"lLOG","FSCross",0.355638795233373,0.364478182112662,0.372480926556925,0.376866296031534,0.381094218833901,0.389767367830915,0.399674915403974,0.00639822584620964,0.85838221761044,0.892182935696105,0.92419992617825,0.941584158965585,0.959743143382147,0.996897870863674,1.0479333474609,0.0266996059463631,0.261533367647346,0.318687358272972,0.528956109041679,1.36285864597426,3.06481554740772,6.04823119581129,8.75472476748797,1.7643182728182,2.22163569194913,2.3439338061707,2.44517562412277,2.50008200036016,2.55573687596903,2.66349228819523,2.8555038331171,0.0813311353002898,3.00494145062626,3.32145360197748,3.89756820733198,6.13483999896382,10.6204068571793,18.5594856570351,26.2689877085691,4.6916016040909
"lLOF","FSCross",0.418508680091539,0.429934507691234,0.439143494805743,0.444030704616685,0.448962962569251,0.45872145469085,0.470184822338838,0.0073232766429593,0.815201963035328,0.860786485623359,0.894320862577503,0.911805440946057,0.931135034178077,0.968741175717666,1.00267299843206,0.0273679188637215,0.331617423094241,0.471140659441752,1.14896079943388,1.96123360169948,3.52528772662247,5.89712606041255,9.1779985586698,1.59761268603499,1.83122330871899,1.92389512214378,2.0076728524187,2.05296421893469,2.10202947417827,2.20338888235846,2.31721058216006,0.0712622353551514,2.73240174008447,3.09145624961354,4.64214186927775,6.47047549060313,9.96867569276773,15.3469959640378,23.2549339955027,3.59845074434088
