"DktRegion","Pipeline","sigma.0.","sigma.2.5.","sigma.25.","sigma.50.","sigma.75.","sigma.97.5.","sigma.100.","sigma.sd","tau0.0.","tau0.2.5.","tau0.25.","tau0.50.","tau0.75.","tau0.97.5.","tau0.100.","tau_0.sd","tau1.0.","tau1.2.5.","tau1.25.","tau1.50.","tau1.75.","tau1.97.5.","tau1.100.","tau_1.sd","variance.ratio.0.","variance.ratio.2.5.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.97.5.","variance.ratio.100.","variance.ratio.sd","variance.ratio.exp.0.","variance.ratio.exp.2.5.","variance.ratio.exp.25.","variance.ratio.exp.50.","variance.ratio.exp.75.","variance.ratio.exp.97.5.","variance.ratio.exp.100.","variance.ratio.exp.sd"
"lcACC","FSLong",0.340646978371043,0.348094804155594,0.355690184175202,0.359630424769324,0.363633593752181,0.37172891646123,0.379917871181917,0.00594675077388684,0.849820809148018,0.897127275616936,0.926647465083922,0.944578675279011,0.963304055034969,0.997478233842123,1.0610387938898,0.0266502407754106,0.396123945767313,0.570882445177149,1.38551573421129,2.26699346197854,3.14652963575572,4.72471481291668,5.97975597904864,1.16039036183069,2.29927777045626,2.46429586645265,2.56904252479716,2.62770672989479,2.6877604085143,2.80256037045802,2.99197741750644,0.0876719588694029,3.63125235919681,4.23668990258056,6.50513473520839,8.87530205613844,11.3975564385199,15.7812663368677,19.184281450738,3.23308755760637
"lcMFG","FSLong",0.399150896810883,0.407499693754691,0.416014232506035,0.420617780435358,0.425450598840261,0.434286084434227,0.444405067195342,0.00690466081123211,0.830494775651041,0.862711282305104,0.89690720921886,0.915086106262924,0.932510173903341,0.970543048038802,1.01909779146096,0.0267381585523224,0.334573663964084,0.450217825969479,1.26785840359548,3.22916637765064,4.23971682607358,5.84524987342034,7.11045011639148,1.61767938728377,1.94539054158878,2.03718669022736,2.12777361452085,2.17537758757932,2.22420981114167,2.32611385043813,2.48843431637513,0.0729237169527913,2.94685762351995,3.25745058665128,5.24645795566125,9.85512744825044,12.2695024938697,16.0581330736916,19.7975429679853,3.84513997972137
"lCUN","FSLong",0.365597239136423,0.375797828172411,0.383988435639051,0.387943480509227,0.391978211574456,0.40028244277082,0.409518894080771,0.00606595578529111,0.830366231797964,0.884955727485357,0.916773907053605,0.933688054835311,0.951395432122123,0.989958265262972,1.04105734280302,0.0268043470553321,0.0941466112337601,0.107415781387683,0.563716141291024,1.6563506334644,2.60204698414729,4.46783388678849,5.73900693034944,1.26462944783863,2.13985054743191,2.26207997511334,2.35692232789185,2.40509231177717,2.46030244683719,2.56822352900777,2.71530072794541,0.0786644652335422,2.49292631234929,2.63925328347914,3.89230556051319,6.68062416135773,9.11564137435255,13.876360128102,16.9543874812562,3.26200521432441
"lENT","FSLong",0.233008250535215,0.238983507207597,0.244096714216359,0.246863959345554,0.249626669066737,0.255530000540244,0.261654423505404,0.00420941715696674,0.870753225708573,0.922113271249307,0.956345906152733,0.97544196366022,0.994142043270026,1.03110982668985,1.10270953178753,0.028034830567271,0.226846752659415,0.273471124100052,0.585954313616424,2.25442573791573,7.30471855741613,14.6406439121721,17.4411696751441,4.6051068343729,3.52661597453178,3.69412323065478,3.86131616845713,3.95196074867956,4.04287175681659,4.21002064606688,4.44638556523776,0.132955307598372,4.70124740553172,5.08440529023439,6.28178783529366,13.2033436032798,33.6911428662725,63.6381450906062,75.2912245503448,18.6888500072645
"lFUS","FSLong",0.31534667676872,0.323204679388267,0.330048450600446,0.333836038567822,0.33749441330144,0.345212506269178,0.355064276407057,0.00557572709586871,0.876859020896091,0.905427791859259,0.936633559305053,0.955347563710652,0.974533825245535,1.01214626663556,1.07390016267042,0.027472497771143,1.40537726268163,2.17152354232545,5.00173320074738,7.02131518765441,8.95370472565158,15.108202557841,17.3923857037801,3.43835136462096,2.58447422174746,2.68611110328265,2.7991877696255,2.86117462858903,2.92739394789921,3.05723967889789,3.21986763616607,0.0953232397532766,7.00594341636289,9.38811920811126,17.9195699472263,23.7692621579677,29.6325524629092,48.4162287398767,55.3890921856633,10.3321613078612
"lIPL","FSLong",0.33820706589214,0.347266847577856,0.355071939582008,0.359165567105235,0.363291143575451,0.371290770389577,0.381698462397877,0.00609187010014029,0.857882217018319,0.9066659226248,0.941301625173847,0.95968519930313,0.978210666612349,1.01763409720046,1.09449290624251,0.0280924494498653,0.0251877229182821,0.0322351352315264,0.250888484465488,0.8791404244493,3.42268646454683,10.30311470084,13.0418318257616,2.69162609592214,2.33400812427511,2.49380477809089,2.61171108416019,2.67344582742531,2.7342307695968,2.85636367791316,3.0692695712236,0.0910311444641532,2.53757419673924,2.68710580822188,3.36885118539219,5.15181457793656,12.2431195222878,31.2936712216291,38.6350543575942,7.50617978464059
"lITG","FSLong",0.298976431046638,0.307317887305029,0.313658631986425,0.317246629912855,0.320870732596686,0.327409559149393,0.339860574293844,0.00525343083338004,0.877936783786532,0.910935328648275,0.943437219602819,0.961958306335616,0.980821189061145,1.01710333604846,1.06514223102208,0.0274673926657681,0.488505991454243,0.618192116978032,1.06919466746823,1.74344313111838,2.32766118029758,4.81436960410492,5.85593772023164,1.0847713973091,2.72275703593382,2.84656023684972,2.96375008582046,3.03141498130843,3.10098401561133,3.23542496999343,3.37956072188468,0.100671070011734,4.4969642797564,4.99985734605742,6.38133532565171,8.49029587692161,10.3767255441001,18.30043334725,21.5521100678835,3.42313278836264
"liCC","FSLong",0.265671767550572,0.272949544277711,0.278778263104612,0.281601430781758,0.284638306270569,0.291254151895988,0.298451227990629,0.00455917549886928,0.874145528294773,0.910637569566748,0.943278097693078,0.960766627246716,0.98050842020895,1.0172788730436,1.07784363528024,0.0269705305778591,0.391642539592471,0.501642991920297,1.31957824143531,2.17720247677858,3.30184633097679,9.46911016364099,12.3883402051245,1.86360204816999,3.05735564240346,3.19970691132081,3.33882762449856,3.41142674126422,3.48949285707372,3.6448151285027,3.86682155964149,0.113079960600661,4.7019849245489,5.15961871091064,8.04818004401425,11.1667029426242,15.1639087064682,36.4319980971926,47.5146420287233,6.6311327360091
"lLOG","FSLong",0.343887020516886,0.352871609166573,0.36042678194961,0.364524939998654,0.368600814480772,0.37655671695743,0.385786825183029,0.00608987387008868,0.852537188096111,0.895283447901824,0.930602009439652,0.949308758471365,0.967660609210611,1.00532844154681,1.0507524985233,0.0278849321815932,0.186335417990765,0.330746347242233,0.744530133600019,1.27851315439868,2.48327955732932,6.10194209642542,9.37533284149633,1.58776738978974,2.29114844203899,2.43118627737949,2.54361026859145,2.60419104919294,2.66752458458928,2.78401467629216,3.00049144906107,0.0903333674882366,3.02220725471882,3.48905430044459,4.6688590990644,6.12728538113499,9.42094512573708,19.3972614221803,28.4243067381767,4.3585651508023
"lLOF","FSLong",0.344217242124921,0.35483316610573,0.362663867006237,0.366779744889312,0.370881915791858,0.37902973437836,0.391384587232206,0.00623146551910931,0.849002426826659,0.894717551831446,0.929764521826569,0.947871039305398,0.965800175303142,1.00423876128309,1.04203718226244,0.027275954367732,0.0440832643198123,0.0549317795903027,0.638059239100344,3.94684910494666,7.9880766264346,14.3092844602971,17.4432403580335,4.46864125993989,2.24577248640299,2.41876018355174,2.52542299519602,2.58328420892928,2.64480401811665,2.76050151902761,2.91763067438709,0.0881661247776559,2.46776144585844,2.67281193259664,4.40643523210578,13.2648691484329,24.3242485787689,41.7629795697477,51.7701578195293,12.2005656049036
"lLING","FSLong",0.342607901408967,0.356098742890824,0.36356449823743,0.367839880446473,0.371642461801867,0.379440704036599,0.386535298620957,0.00600986703209223,0.850294354548385,0.890674289491252,0.924268633353819,0.942235414787629,0.959986261799874,0.995216738725039,1.04700805215668,0.0266676885423521,0.219378256414135,0.292500555976653,0.760695893633511,1.22383945352207,3.25872656639316,5.93229422114652,7.20097706870366,1.66035849904627,2.30449670126075,2.39565937491368,2.50409332264815,2.56276144980822,2.62255446318488,2.73754171320252,2.90099569364906,0.0863579791973014,2.96503245083268,3.36189152167524,4.59766998892732,5.88523426791425,11.3908870489502,18.7828207892138,22.9887832371368,4.54123936901664
"lMOF","FSLong",0.349380414620096,0.357707720969462,0.365133427163109,0.368999269581587,0.373153292827803,0.3817416020728,0.39433254674413,0.00611181543752548,0.838462047654633,0.888595767169845,0.92211903889264,0.939900915025305,0.958185409153748,0.996752126752018,1.04534296893178,0.0271886709814319,0.0704306064961605,0.0808599463168053,0.719203630552965,4.53257479776857,10.2170863138108,13.886013722044,15.3607414439336,4.81162308899564,2.20967814086774,2.38430739138541,2.49077430045724,2.54714735427324,2.60437652826005,2.72018953833856,2.87907662953161,0.0852098352177892,2.53760296930693,2.73115708414169,4.51739969807127,14.7584544229219,30.283297699951,40.3899042802835,44.5536221259686,13.0503168010033
