DktRegion,Pipeline,sigma.0.,sigma.2.5.,sigma.25.,sigma.50.,sigma.75.,sigma.97.5.,sigma.100.,sigma.sd,tau0.0.,tau0.2.5.,tau0.25.,tau0.50.,tau0.75.,tau0.97.5.,tau0.100.,tau_0.sd,tau1.0.,tau1.2.5.,tau1.25.,tau1.50.,tau1.75.,tau1.97.5.,tau1.100.,tau_1.sd,variance.ratio.0.,variance.ratio.2.5.,variance.ratio.25.,variance.ratio.50.,variance.ratio.75.,variance.ratio.97.5.,variance.ratio.100.,variance.ratio.sd,variance.ratio.exp.0.,variance.ratio.exp.2.5.,variance.ratio.exp.25.,variance.ratio.exp.50.,variance.ratio.exp.75.,variance.ratio.exp.97.5.,variance.ratio.exp.100.,variance.ratio.exp.sd
lcACC,ANTsXNet,0.346684587978568,0.353817107171364,0.360534763395546,0.36475038904147,0.368725355278747,0.376571261777355,0.389458872464594,0.00596164858039151,0.851661052616078,0.887101681204072,0.91940580705427,0.937010897784239,0.956007767591268,0.993087971659841,1.04033778492747,0.0268926923090375,0.265763243672789,0.357255713781327,1.02225544934563,1.89038135081575,2.94615439447015,6.12092070398341,8.98008352493083,1.63762990081563,2.31785576796175,2.40690223261043,2.51266043325125,2.57025177042784,2.62802289621312,2.74418655491156,2.87893295424328,0.0857506935064505,3.14847714260234,3.54468484814276,5.39302712648091,7.75017951235868,10.6438337422857,19.1977630266928,27.2600718984474,4.48686703142034
lcMFG,ANTsXNet,0.439943025450808,0.454765339496077,0.464256986693569,0.469350438356974,0.474386668980336,0.484374181113218,0.501780463894725,0.00754592719996759,0.796828982081942,0.835325697495063,0.86682632237627,0.883637687822249,0.903037758681059,0.942320626035905,0.988963589790102,0.0270019405870378,0.178379736733236,0.260653368447403,0.970017387505338,2.2283826560335,3.48763439064616,8.5194449497382,11.3839891235655,1.9830880227252,1.65416675355444,1.76336892884594,1.84075180261349,1.88340382560154,1.93056336490365,2.02468424926204,2.12835504949001,0.0670110017036231,2.14095668151437,2.42176440398849,3.96332041963434,6.63581166066234,9.31089467518598,20.0853455940067,26.8524826778857,4.23083260068409
lCUN,ANTsXNet,0.441659874795642,0.452599037450852,0.462019453691262,0.467066626593607,0.472158681692619,0.482807744767664,0.496361166833269,0.00764208264007354,0.816773101336312,0.848810444637632,0.880539221905859,0.8974765921168,0.916652504356981,0.953224962802488,0.996273830854277,0.0267920994563805,0.205148238367796,0.271078547364115,0.818310206904378,2.32684554503517,3.88569143067974,9.14269279993278,12.1666647988893,2.23638779445095,1.72080676571903,1.80047812517446,1.8770393407852,1.92224700997649,1.97020970056375,2.0602428783829,2.15024123070191,0.0668768033670173,2.277584043472,2.49974524252382,3.67880574438869,6.9506465016874,10.2854533168452,21.3981427231654,28.2971888578731,4.78903637040314
lENT,ANTsXNet,0.393568540824466,0.404453289791953,0.412984913057888,0.417788537325893,0.422327532699257,0.431335490436178,0.444210562585213,0.00690753204307022,0.845141797504615,0.874815785470156,0.909866403923595,0.927654026863801,0.945958020096382,0.98345323900987,1.03364302581054,0.0274626058812894,0.0567688513872591,0.0694001071247527,0.353050058712549,1.05443768877573,3.50023144064845,13.3809285292497,18.1653913291786,3.59680525661602,1.97567440449442,2.07674048621837,2.17089475355592,2.22253420344244,2.27278341508818,2.37406930407931,2.52102725959884,0.0756607475390435,2.13483581466422,2.36968136804202,3.06426680855557,4.7837237153503,10.6242382277938,34.3637741818369,45.796313911213,8.61934214586347
lFUS,ANTsXNet,0.407873140214138,0.426496624098481,0.435427740313408,0.440584671752089,0.44549799187176,0.454923767364766,0.468178746917219,0.00729936717267612,0.824416181955431,0.859777574889901,0.892767258029983,0.909932945548303,0.927948514170611,0.964511285292829,1.02537921581859,0.0266751723793337,0.165937986993786,0.196450339915577,1.21809325934929,4.63229868875132,7.64561629731803,13.1175638334653,15.1969580434157,3.74091731914349,1.84357262435356,1.93181965989831,2.01921414894913,2.06552791512601,2.11465300836167,2.21576124758313,2.33877720842257,0.0708702928021334,2.30038013108357,2.48194460912681,4.69835725823654,12.6353999875639,19.4483383223405,31.9545321495803,37.9867968997993,8.49822094203975
lIPL,ANTsXNet,0.393422519815845,0.409330789707409,0.4180220373521,0.422844222312292,0.427365432993728,0.437234307931917,0.446667714589394,0.00701902241604974,0.823701520417117,0.866721461496736,0.898958889078569,0.916011153909146,0.934412185137872,0.971021585847116,1.02616011717415,0.0266170180424942,0.637030290995054,0.977239756470244,2.03913580223765,6.01107934458087,12.8064007427094,24.3457118696992,30.2422526170639,7.13743141665289,1.9247333581559,2.02759678832997,2.11999652153011,2.16644562286404,2.21595723259331,2.32110503907077,2.46714139222505,0.0735940572780138,3.57983831556965,4.47063970432384,7.01859269519164,16.2849051045281,32.442794702852,59.6734492000865,73.8917778751095,16.8823897176971
lITG,ANTsXNet,0.442550763635601,0.45735127137872,0.467200165069329,0.472626995348237,0.477908158984002,0.487795046093501,0.50086010692765,0.0078526049281113,0.789169661718116,0.840277002667274,0.873387735294325,0.890826279192113,0.907161488000621,0.942136758602711,0.98399881393469,0.0259045860846252,0.193940102732467,0.295310066438746,0.729397983182616,2.3158855813714,4.95337104759898,10.732384385103,16.0100116505349,3.04519329222521,1.67209154185797,1.75900417342939,1.83949037656915,1.8840877280638,1.92683379424137,2.01528897124642,2.09423302333669,0.0645339354141817,2.18923225885228,2.47674995418127,3.43439750421161,6.7797110907231,12.4300066340614,24.3911282822394,35.6420550820691,6.43209403794024
liCC,ANTsXNet,0.374009985026509,0.387435138713955,0.39529043143771,0.39962336221442,0.404449984656105,0.412853013195026,0.424954125670349,0.00657864335682807,0.831734112962385,0.870420182621683,0.903092393614891,0.920615472407402,0.938935820693676,0.974896440018864,1.0193270835399,0.026821511674917,0.0803836367859979,0.108602120540403,0.770115018364452,2.72171291611509,4.70649831450393,8.14520510271961,10.3346105753258,2.41634849999102,2.03600350557989,2.15637970560101,2.25082162079331,2.30230483314089,2.35608698884548,2.46228213315243,2.61958584257673,0.0779348779221243,2.37992861818568,2.55175701422802,4.2246124738039,9.10759961703481,14.0812863352967,22.5888546977187,27.9252945070003,6.04502669850035
lLOG,ANTsXNet,0.416650555947158,0.427569889924213,0.436369289715238,0.441155871130854,0.446052978950491,0.455374435934578,0.468169670557987,0.00711071954244261,0.819353279259721,0.859815416659179,0.892670706415792,0.909776697305621,0.92795479041968,0.963826409755853,1.00503031881383,0.026681453545082,0.18942854805429,0.280515892910735,1.20055307890574,2.93054124701512,5.23642220002584,14.6233495672208,17.069262847904,3.65094778725398,1.83377576236164,1.92981504811655,2.01800200766881,2.06302402574977,2.10986447794331,2.20910451611385,2.32113996741674,0.0695574934024592,2.42470130843593,2.7053062982937,4.77716620872524,8.72934830902619,13.9820541811737,35.0601150259151,40.4240994611921,8.28524850515243
lLOF,ANTsXNet,0.429542724643064,0.438397933109181,0.447116560676227,0.452055710694652,0.456952953888982,0.466835339050832,0.475894048443201,0.00724560101720267,0.806280345148669,0.851675590357635,0.883675589401234,0.900299646023844,0.916629807563364,0.950932979217278,1.00778900927777,0.0254801645567933,0.71694759147501,0.900071052810734,1.62965633861739,3.99279593805551,5.760623440403,9.71054886695815,13.0111100657156,2.50500037831096,1.80089499521977,1.86180624986181,1.94772672358528,1.99186024111331,2.03557758458359,2.12274673263751,2.24786071657098,0.065778100565984,3.4191309084162,3.96583252328193,5.56854323535452,10.8154047072862,14.7004528337261,23.4438775273978,31.3364815725572,5.55063584404873
