"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lcACC","newANTsSST",0.126705611992353,0.132919255673226,0.13437810706309,0.13595155677542,0.143988839713162,0.0023068908477479,0.904767184161348,0.98394657034251,1.00196620875729,1.02118719803793,1.11639514039875,0.0280377804351697,6.53857916578455,7.28881047148154,7.45463919603939,7.62977733192326,8.38462979521416,0.249738549337397
"lcMFG","newANTsSST",0.204555590963815,0.213043268942554,0.215473851527058,0.2179580859841,0.229019303078164,0.00357496289910459,0.902677674153721,0.968108303915342,0.985837918472195,1.00364927933598,1.08479549611995,0.0265214541903292,4.11304548716246,4.47919390725306,4.57584651659555,4.67825769542671,5.13465505629824,0.148246059477542
"lCUN","newANTsSST",0.1672896639744,0.176786536133313,0.178763712997423,0.18075164405356,0.189802275657147,0.00293736114773314,0.903021718153922,0.982707139958099,1.00077615927024,1.0195466725989,1.1065002908734,0.0277701904262466,4.98501786759427,5.47301709793014,5.59796053645235,5.72489706753277,6.25667511993077,0.182392177928724
"lENT","newANTsSST",0.230135140621909,0.242026011175052,0.244647758631398,0.247582786874801,0.260455684741369,0.00405331211747455,0.878656927319564,0.956161638998269,0.973681884384666,0.991802268200515,1.08605988288735,0.0272250679077175,3.57251472358613,3.89422568944056,3.9788685665645,4.06675613024089,4.45279744013167,0.12975794310584
"lFUS","newANTsSST",0.156383813858488,0.164049991177893,0.165838238722894,0.167671224496263,0.175465917796093,0.0026848766278732,0.899828698124245,0.983744913954231,1.00189809089231,1.02167757977608,1.10917620358221,0.0284460197351444,5.4626880923768,5.91120048635269,6.04386317289953,6.18187716987497,6.85507840679442,0.200097999901127
"lIPL","newANTsSST",0.165417336258422,0.175776311272614,0.177731656045015,0.179742712157044,0.191041616373863,0.00297429421799746,0.910373225888644,0.978209467998731,0.996203381500688,1.01513021806864,1.10312997704111,0.0270233614023651,4.9722249612786,5.48833873283536,5.60143235118701,5.73034238842039,6.22216179707186,0.178980952286496
"lITG","newANTsSST",0.215993235311992,0.225469418246777,0.228118596088521,0.230720156273822,0.242413798508607,0.00383819423731862,0.897256649721802,0.975370142410602,0.993505114976612,1.01144918161516,1.10989259212443,0.0270354899510376,3.88370286876924,4.26030672843812,4.35346160092785,4.45641892009914,5.01298787723504,0.142183637529718
"liCC","newANTsSST",0.142245077187057,0.14922199028886,0.150970211575644,0.152673533875254,0.159294197378006,0.00250714041948058,0.905648744527616,0.98099506669662,0.999658622754761,1.01806221434429,1.108800458117,0.0280896737939605,5.94390078428734,6.47870013455934,6.61663834396388,6.76550777656128,7.38976602209871,0.213861178765308
"lLOG","newANTsSST",0.211607159181242,0.221595978888201,0.224064051131959,0.226477668447387,0.238469677908772,0.00370026999681164,0.905270931384063,0.966966760542626,0.98466934885265,1.0030957477575,1.10393004143421,0.0270905154340084,3.9411325848626,4.3017998814236,4.39701282809118,4.49490133730258,4.96980062286803,0.142003201181942
"lLOF","newANTsSST",0.189584534740946,0.198356490300049,0.200526718885788,0.202834602658994,0.214071421119039,0.00328282159333079,0.90597117685134,0.976454508922288,0.994623056973127,1.01445763479249,1.09106210581658,0.0274674466346383,4.4855471991822,4.85777737912164,4.9613970665027,5.07079976522045,5.55610092653605,0.158005480450718
