,names,unnormed,normed
1,lcACC,0.9782,0.103346997422136
2,lcMFG,0.8522,0.137456046969257
3,lCUN,0.2479,0.0352957926959493
4,lENT,-0.6623,-0.0910415549782122
5,lFUS,-0.2882,-0.0362142192958206
6,lIPL,1.2723,0.154594831042905
7,lITG,-0.3536,-0.056209067209258
8,liCC,0.5862,0.0674661633367093
9,lLOG,0.987,0.127069547081391
10,lLOF,-0.6512,-0.0782184639777068
11,lLING,1.2349,0.140846516190107
12,lMOF,-0.3054,-0.0442826900211699
13,lMTG,0.6891,0.0903204666098696
14,lPARH,-0.241300000000001,-0.022348179637502
15,lparaC,-0.0939999999999999,-0.013369364244062
16,lpOPER,0.919099999999999,0.119089884291952
17,lpORB,0.1981,0.0296419326360521
18,lpTRI,-0.4413,-0.0697211470100324
19,lperiCAL,0.4211,0.0740265447833348
20,lpostC,0.1007,0.0148799408939785
21,lPCC,0.754099999999999,0.0765653714552598
22,lpreC,0.2603,0.0388838265389959
23,lPCUN,1.4167,0.134789020503306
24,lrACC,-0.5659,-0.0804097929721358
25,lrMFG,0.7486,0.107105044782099
26,lSFG,0.7593,0.114495529049867
27,lSPL,1.0058,0.132102235414642
28,lSTG,0.8765,0.101422108052441
29,lSMAR,1.4951,0.179982905777125
30,lTT,0.2818,0.0537847845173112
31,lINS,-0.359900000000001,-0.041881465793118
32,rcACC,0.244,0.0271129186390204
33,rcMFG,0.9257,0.143887464055335
34,rCUN,-0.2452,-0.0398673257023934
35,rENT,-0.7968,-0.113701875053512
36,rFUS,-0.3332,-0.0414675428116288
37,rIPL,1.1328,0.140125182454665
38,rITG,-0.4138,-0.0636654563357745
39,riCC,-0.0714000000000001,-0.00886383950739896
40,rLOG,0.817600000000001,0.110600075753477
41,rLOF,-0.0821000000000001,-0.0103433070866142
42,rLING,0.4541,0.0615169947302112
43,rMOF,0.1239,0.0174273858921162
44,rMTG,0.7848,0.0996090775244961
45,rPARH,0.2831,0.0264740262776453
46,rparaC,-0.5272,-0.0811476419160202
47,rpOPER,0.6604,0.0916229640112101
48,rpORB,0.551,0.075355579868709
49,rpTRI,0.0870000000000002,0.0127603402757407
50,rperiCAL,-0.4069,-0.0789284813686885
51,rpostC,-0.1759,-0.0276959896710806
52,rPCC,-0.283399999999999,-0.0325485241759503
53,rpreC,-0.126,-0.0200604999203948
54,rPCUN,0.1702,0.0194434289892159
55,rrACC,-0.3884,-0.0535502550668689
56,rrMFG,0.8863,0.117644716407608
57,rSFG,0.7576,0.107220696877919
58,rSPL,0.2037,0.0297933334308406
59,rSTG,0.7718,0.088902711544221
60,rSMAR,0.8866,0.118856744510282
61,rTT,-0.2152,-0.047352902345641
62,rINS,-0.465,-0.0505841655244436
