"","Pipeline","Regions","Ratios"
"1","Cross-sectional","lcACC",4.2435
"2","Cross-sectional","lcMFG",2.6738
"3","Cross-sectional","lCUN",3.3878
"4","Cross-sectional","lENT",3.9685
"5","Cross-sectional","lFUS",4.1232
"6","Cross-sectional","lIPL",3.4788
"7","Cross-sectional","lITG",3.3222
"8","Cross-sectional","liCC",4.0513
"9","Cross-sectional","lLOG",3.3902
"10","Cross-sectional","lLOF",4.4883
"11","Cross-sectional","lLING",3.7664
"12","Cross-sectional","lMOF",3.601
"13","Cross-sectional","lMTG",3.4702
"14","Cross-sectional","lPARH",5.5193
"15","Cross-sectional","lparaC",3.5625
"16","Cross-sectional","lpOPER",3.3993
"17","Cross-sectional","lpORB",3.2425
"18","Cross-sectional","lpTRI",3.3854
"19","Cross-sectional","lperiCAL",2.6337
"20","Cross-sectional","lpostC",3.3334
"21","Cross-sectional","lPCC",4.5475
"22","Cross-sectional","lpreC",3.217
"23","Cross-sectional","lPCUN",4.5469
"24","Cross-sectional","lrACC",3.8018
"25","Cross-sectional","lrMFG",3.1204
"26","Cross-sectional","lSFG",2.9362
"27","Cross-sectional","lSPL",3.304
"28","Cross-sectional","lSTG",3.8828
"29","Cross-sectional","lSMAR",3.4059
"30","Cross-sectional","lTT",2.4788
"31","Cross-sectional","lINS",4.4766
"32","Cross-sectional","rcACC",4.3777
"33","Cross-sectional","rcMFG",2.7539
"34","Cross-sectional","rCUN",3.1978
"35","Cross-sectional","rENT",3.9023
"36","Cross-sectional","rFUS",4.1842
"37","Cross-sectional","rIPL",3.4757
"38","Cross-sectional","rITG",3.4567
"39","Cross-sectional","riCC",4.0633
"40","Cross-sectional","rLOG",3.2874
"41","Cross-sectional","rLOF",4.0098
"42","Cross-sectional","rLING",3.4638
"43","Cross-sectional","rMOF",3.4928
"44","Cross-sectional","rMTG",3.547
"45","Cross-sectional","rPARH",5.2052
"46","Cross-sectional","rparaC",3.512
"47","Cross-sectional","rpOPER",3.2737
"48","Cross-sectional","rpORB",3.3805
"49","Cross-sectional","rpTRI",3.3655
"50","Cross-sectional","rperiCAL",2.7811
"51","Cross-sectional","rpostC",3.2635
"52","Cross-sectional","rPCC",4.4952
"53","Cross-sectional","rpreC",3.2035
"54","Cross-sectional","rPCUN",4.2917
"55","Cross-sectional","rrACC",3.8207
"56","Cross-sectional","rrMFG",3.3237
"57","Cross-sectional","rSFG",3.1541
"58","Cross-sectional","rSPL",3.3167
"59","Cross-sectional","rSTG",3.9548
