"","param","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method","software"
"1","var_ratio[1]",3.46,0,0.12,3.24,3.38,3.45,3.53,3.69,1000,1,"cross","ANTs"
"2","var_ratio[2]",2.37,0,0.08,2.2,2.31,2.36,2.42,2.52,1000,1,"cross","ANTs"
"3","var_ratio[3]",2.86,0,0.1,2.68,2.79,2.86,2.92,3.06,1000,1,"cross","ANTs"
"4","var_ratio[4]",3.4,0,0.1,3.19,3.33,3.4,3.46,3.6,1000,1,"cross","ANTs"
"5","var_ratio[5]",3.39,0,0.11,3.18,3.32,3.39,3.46,3.6,1000,1,"cross","ANTs"
"6","var_ratio[6]",3.03,0,0.1,2.84,2.96,3.03,3.1,3.24,1000,1,"cross","ANTs"
"7","var_ratio[7]",2.97,0,0.1,2.78,2.91,2.97,3.03,3.17,1000,1,"cross","ANTs"
"8","var_ratio[8]",3.49,0,0.11,3.28,3.42,3.48,3.57,3.71,1000,1,"cross","ANTs"
"9","var_ratio[9]",3.02,0,0.09,2.86,2.96,3.02,3.08,3.2,1000,1,"cross","ANTs"
"10","var_ratio[10]",3.41,0,0.11,3.18,3.33,3.41,3.49,3.61,1000,1,"cross","ANTs"
"11","var_ratio[11]",3.03,0,0.1,2.85,2.97,3.03,3.1,3.23,1000,1,"cross","ANTs"
"12","var_ratio[12]",3.01,0,0.1,2.82,2.95,3.01,3.08,3.21,1000,1,"cross","ANTs"
"13","var_ratio[13]",3.09,0,0.1,2.89,3.02,3.09,3.16,3.3,1000,1,"cross","ANTs"
"14","var_ratio[14]",3.92,0,0.13,3.68,3.83,3.91,4,4.17,1000,1,"cross","ANTs"
"15","var_ratio[15]",2.93,0,0.1,2.73,2.85,2.93,2.99,3.12,1000,1,"cross","ANTs"
"16","var_ratio[16]",2.84,0,0.1,2.66,2.77,2.84,2.9,3.03,1000,1,"cross","ANTs"
"17","var_ratio[17]",2.74,0,0.09,2.56,2.68,2.74,2.8,2.93,1000,1,"cross","ANTs"
"18","var_ratio[18]",2.95,0,0.1,2.77,2.88,2.94,3.01,3.16,1000,1,"cross","ANTs"
"19","var_ratio[19]",2.45,0,0.09,2.29,2.39,2.45,2.51,2.62,1000,1,"cross","ANTs"
"20","var_ratio[20]",2.69,0,0.08,2.53,2.63,2.69,2.74,2.85,1000,1,"cross","ANTs"
"21","var_ratio[21]",3.57,0,0.12,3.35,3.48,3.57,3.65,3.81,1000,1,"cross","ANTs"
"22","var_ratio[22]",2.61,0,0.09,2.44,2.55,2.61,2.67,2.79,1000,1,"cross","ANTs"
"23","var_ratio[23]",3.72,0,0.12,3.47,3.64,3.71,3.79,3.96,1000,1,"cross","ANTs"
"24","var_ratio[24]",3.08,0,0.1,2.88,3,3.07,3.14,3.28,1000,1,"cross","ANTs"
"25","var_ratio[25]",2.69,0,0.09,2.51,2.62,2.68,2.74,2.88,1000,1,"cross","ANTs"
"26","var_ratio[26]",2.51,0,0.09,2.35,2.44,2.5,2.57,2.68,1000,1,"cross","ANTs"
"27","var_ratio[27]",2.87,0,0.09,2.69,2.81,2.87,2.93,3.06,1000,1,"cross","ANTs"
"28","var_ratio[28]",3.28,0,0.11,3.07,3.21,3.27,3.34,3.48,1000,1,"cross","ANTs"
"29","var_ratio[29]",2.88,0,0.1,2.7,2.82,2.88,2.95,3.08,1000,1,"cross","ANTs"
"30","var_ratio[30]",2.26,0,0.08,2.11,2.2,2.25,2.31,2.41,1000,1,"cross","ANTs"
"31","var_ratio[31]",3.57,0,0.12,3.36,3.49,3.57,3.65,3.8,1000,1,"cross","ANTs"
"32","var_ratio[32]",3.58,0,0.12,3.33,3.49,3.57,3.66,3.83,1000,1,"cross","ANTs"
"33","var_ratio[33]",2.45,0,0.08,2.31,2.39,2.45,2.5,2.6,1000,1,"cross","ANTs"
"34","var_ratio[34]",2.54,0,0.08,2.38,2.49,2.54,2.59,2.72,1000,1,"cross","ANTs"
"35","var_ratio[35]",3.14,0,0.11,2.93,3.07,3.14,3.21,3.37,1000,1,"cross","ANTs"
"36","var_ratio[36]",3.01,0,0.1,2.84,2.94,3.01,3.07,3.2,1000,1,"cross","ANTs"
"37","var_ratio[37]",2.94,0,0.1,2.74,2.87,2.93,3,3.13,1000,1,"cross","ANTs"
"38","var_ratio[38]",2.74,0,0.09,2.57,2.68,2.75,2.8,2.92,1000,1,"cross","ANTs"
"39","var_ratio[39]",3.46,0,0.11,3.25,3.38,3.45,3.53,3.68,1000,1,"cross","ANTs"
"40","var_ratio[40]",2.78,0,0.09,2.63,2.72,2.78,2.84,2.96,1000,1,"cross","ANTs"
"41","var_ratio[41]",3.1,0,0.1,2.9,3.02,3.09,3.17,3.29,1000,1,"cross","ANTs"
"42","var_ratio[42]",2.59,0,0.09,2.42,2.52,2.59,2.65,2.76,1000,1,"cross","ANTs"
"43","var_ratio[43]",3.05,0,0.1,2.85,2.98,3.05,3.11,3.24,1000,1,"cross","ANTs"
"44","var_ratio[44]",2.95,0,0.1,2.76,2.88,2.95,3.01,3.13,1000,1,"cross","ANTs"
"45","var_ratio[45]",3.5,0,0.12,3.29,3.43,3.5,3.58,3.75,1000,1,"cross","ANTs"
"46","var_ratio[46]",2.76,0,0.09,2.59,2.7,2.75,2.82,2.94,1000,1,"cross","ANTs"
