ID,left caudal anterior cingulate,left caudal middle frontal,left cuneus,left entorhinal,left fusiform,left inferior parietal,left inferior temporal,left isthmus cingulate,left lateral occipital,left lateral orbitofrontal,left lingual,left medial orbitofrontal,left middle temporal,left parahippocampal,left paracentral,left pars opercularis,left pars orbitalis,left pars triangularis,left pericalcarine,left postcentral,left posterior cingulate,left precentral,left precuneus,left rostral anterior cingulate,left rostral middle frontal,left superior frontal,left superior parietal,left superior temporal,left supramarginal,left transverse temporal,left insula,right caudal anterior cingulate,right caudal middle frontal,right cuneus,right entorhinal,right fusiform,right inferior parietal,right inferior temporal,right isthmus cingulate,right lateral occipital,right lateral orbitofrontal,right lingual,right medial orbitofrontal,right middle temporal,right parahippocampal,right paracentral,right pars opercularis,right pars orbitalis,right pars triangularis,right pericalcarine,right postcentral,right posterior cingulate,right precentral,right precuneus,right rostral anterior cingulate,right rostral middle frontal,right superior frontal,right superior parietal,right superior temporal,right supramarginal,right transverse temporal,right insula
OASIS-TRT-20-1,1.19335,1.27793,0.94412,1.31951,1.21458,1.16295,1.51231,1.03719,1.17368,1.24836,1.09794,1.12463,1.41591,1.01495,1.21545,1.21576,1.30125,1.19718,0.877174,1.01483,1.1377,1.27883,1.18364,1.21577,1.20782,1.373,1.059,1.39208,1.33226,1.0344,1.52374,1.18036,1.30014,0.99392,1.27006,1.21283,1.22981,1.41045,0.986733,1.22836,1.33405,1.14724,1.08699,1.40398,0.944912,1.14803,1.2886,1.10086,1.20212,0.849784,1.05808,1.14752,1.35403,1.19694,1.27854,1.23819,1.39684,1.08985,1.38426,1.29946,0.955752,1.49835
OASIS-TRT-20-2,1.22887,1.20321,0.933523,1.26397,1.17152,1.17896,1.31525,0.912759,1.07693,1.13344,0.954303,0.987267,1.25346,1.06338,1.03528,1.22741,0.94395,1.18007,0.85567,0.933598,1.14566,1.23392,1.09251,1.21612,1.09148,1.26966,1.03948,1.33836,1.21573,1.02405,1.39545,1.13556,1.11633,0.914959,1.14007,1.07923,1.12217,1.19865,0.962217,1.11787,1.2338,1.02563,1.03401,1.20848,0.930866,1.04516,1.11617,1.09185,1.13862,0.915851,1.02069,1.05724,1.18902,1.07523,1.13587,1.08617,1.23321,1.01589,1.33617,1.17327,1.04818,1.295
OASIS-TRT-20-3,1.14757,1.26653,0.863593,1.4396,1.1978,1.13349,1.36925,0.950098,0.963129,1.27185,0.922161,1.10491,1.33316,1.18985,1.11722,1.21392,1.2546,1.2215,0.78843,0.98039,1.04355,1.20563,1.07495,1.27603,1.18122,1.32047,0.979284,1.3703,1.19243,0.999277,1.34069,1.13608,1.18559,0.863943,1.21683,1.1674,1.18362,1.2942,0.952147,1.07249,1.28888,0.97689,1.0853,1.34082,1.08635,1.0988,1.13419,1.10438,1.16572,0.817208,0.938687,1.15025,1.2378,1.12646,1.17886,1.18112,1.31095,0.971637,1.35976,1.21538,0.987273,1.42296
OASIS-TRT-20-4,1.21672,1.21539,0.87815,1.17223,1.22736,1.22362,1.33362,0.954668,1.08237,1.18295,1.07174,1.08563,1.28705,1.06441,1.06297,1.17726,1.04461,1.14582,0.882532,1.03324,1.11088,1.23821,1.07803,1.2189,1.18492,1.28773,1.05237,1.34741,1.21526,0.907055,1.33635,1.21193,1.18272,0.889551,1.20842,1.0824,1.26451,1.26138,0.964793,1.1569,1.24932,1.087,0.944114,1.29104,1.1108,1.10194,1.17329,1.05313,1.17628,0.877178,0.940641,1.18357,1.20176,1.11135,1.17831,1.09093,1.30313,1.03785,1.3314,1.23517,0.947183,1.40499
OASIS-TRT-20-5,1.29671,1.30311,0.986555,1.20721,1.21568,1.2506,1.41221,1.13084,1.132,1.23928,1.05941,1.14114,1.35784,0.955082,1.18349,1.20838,1.03598,1.16128,0.945905,1.06335,1.20922,1.32121,1.16103,1.15405,1.17708,1.35771,1.0911,1.36747,1.31018,1.06317,1.47296,1.25385,1.2369,0.970588,1.22603,1.12519,1.18443,1.2658,1.13961,1.22709,1.23634,1.069,1.13427,1.29361,0.955054,1.10488,1.17544,1.10736,1.20516,0.927096,1.04952,1.20102,1.26907,1.14334,1.22148,1.18431,1.3446,1.07552,1.3902,1.25037,1.04094,1.39425
OASIS-TRT-20-6,1.2392,1.25376,0.828601,1.30452,1.19863,1.12416,1.29935,1.00227,1.04128,1.25373,1.01912,1.07475,1.29346,0.994635,1.04171,1.23851,1.06897,1.10433,0.757636,0.917375,1.06708,1.24244,1.07569,1.3416,1.19959,1.27967,0.970311,1.32927,1.18597,0.856554,1.44439,1.26562,1.19365,0.8771,1.30401,1.15116,1.1238,1.26517,1.06751,1.09346,1.32079,1.06676,1.0625,1.2555,0.980346,1.10455,1.22042,1.12236,1.22262,0.753107,0.964593,1.09197,1.18846,1.07919,1.1646,1.14516,1.27209,0.944965,1.29282,1.13409,0.9416,1.52696
OASIS-TRT-20-7,1.22683,1.29518,0.907457,1.16632,1.20603,1.16252,1.26528,1.03097,1.12645,1.12244,0.971094,1.07848,1.25564,0.901591,1.08227,1.12607,1.17427,1.16383,0.841667,0.98156,1.06772,1.24081,1.10361,1.14917,1.14147,1.29168,1.09582,1.35152,1.21887,0.979478,1.37542,1.13963,1.16587,0.890832,1.2008,1.14484,1.22215,1.15804,0.977517,1.16457,1.21858,0.965149,0.949485,1.29999,0.854587,1.03753,1.16558,1.15986,1.08387,0.890333,1.01626,1.03396,1.28142,1.11082,1.0388,1.15802,1.29515,1.0722,1.2087,1.19915,0.971939,1.33179
OASIS-TRT-20-8,1.01154,1.27215,0.855372,1.17545,1.08525,1.28099,1.19035,0.979734,1.06061,1.14518,0.903623,1.09058,1.14131,0.900746,1.05151,1.1488,1.1182,1.12979,0.80989,0.987226,0.914534,1.20576,1.05658,1.11156,1.22273,1.34087,1.13862,1.23875,1.27402,0.959733,1.21271,1.03155,1.22854,0.76523,1.29426,1.10632,1.22388,1.20322,0.965735,1.06418,1.23224,0.950064,1.06162,1.29823,0.920824,1.04129,1.21629,1.18576,1.11396,0.800884,0.956485,1.05847,1.20461,1.09378,1.08719,1.21507,1.32796,1.09424,1.23537,1.23361,0.847037,1.19963
OASIS-TRT-20-9,1.26163,1.27294,0.863494,1.30231,1.11429,1.25674,1.26412,1.00472,1.14396,1.10648,0.96462,1.04777,1.38793,1.16002,1.12697,1.26671,0.974551,1.19306,0.724898,1.0075,1.09342,1.26241,1.08914,1.02877,1.19846,1.34632,1.03513,1.38836,1.32079,0.925595,1.39861,1.14022,1.25899,0.881978,1.3201,1.12336,1.26504,1.23532,1.11,1.17192,1.20336,1.00481,0.986064,1.34409,1.03974,1.12489,1.23283,1.04633,1.10632,0.761556,0.844113,1.12126,1.25736,1.14824,1.06457,1.14115,1.30704,1.07635,1.36701,1.24652,1.0394,1.41541
OASIS-TRT-20-10,1.13289,1.25057,0.902081,1.35403,1.15149,1.15076,1.41299,1.04371,1.02522,1.0928,1.02417,0.928066,1.27411,1.0696,1.11521,1.12893,1.067,1.10285,0.867906,0.995358,1.17078,1.19057,1.05631,0.922703,1.06475,1.3283,1.03149,1.2794,1.18976,0.913954,1.37843,1.19668,1.16005,0.892839,1.32661,1.07083,1.1609,1.25433,1.07413,1.08987,1.20907,1.04061,1.00467,1.3248,1.07281,1.04259,1.19935,1.18395,1.08408,0.854438,0.971504,1.1049,1.2029,1.08771,0.890993,1.09697,1.26177,1.02093,1.3498,1.18055,0.904891,1.38433
