ID,left caudal anterior cingulate,left caudal middle frontal,left cuneus,left entorhinal,left fusiform,left inferior parietal,left inferior temporal,left isthmus cingulate,left lateral occipital,left lateral orbitofrontal,left lingual,left medial orbitofrontal,left middle temporal,left parahippocampal,left paracentral,left pars opercularis,left pars orbitalis,left pars triangularis,left pericalcarine,left postcentral,left posterior cingulate,left precentral,left precuneus,left rostral anterior cingulate,left rostral middle frontal,left superior frontal,left superior parietal,left superior temporal,left supramarginal,left transverse temporal,left insula,right caudal anterior cingulate,right caudal middle frontal,right cuneus,right entorhinal,right fusiform,right inferior parietal,right inferior temporal,right isthmus cingulate,right lateral occipital,right lateral orbitofrontal,right lingual,right medial orbitofrontal,right middle temporal,right parahippocampal,right paracentral,right pars opercularis,right pars orbitalis,right pars triangularis,right pericalcarine,right postcentral,right posterior cingulate,right precentral,right precuneus,right rostral anterior cingulate,right rostral middle frontal,right superior frontal,right superior parietal,right superior temporal,right supramarginal,right transverse temporal,right insula
OASIS-TRT-20-1,1.17247,1.27205,0.912399,1.27129,1.17318,1.14403,1.47661,0.988636,1.15421,1.2364,1.0472,1.11305,1.38854,0.976055,1.1993,1.19738,1.28165,1.17899,0.841421,1.01298,1.12307,1.2645,1.16893,1.1828,1.18982,1.35518,1.05351,1.36248,1.31932,0.998673,1.49219,1.1575,1.27457,0.952082,1.2033,1.19287,1.20407,1.3846,0.920103,1.2029,1.31749,1.09541,1.07542,1.39347,0.938448,1.1342,1.27106,1.08791,1.19477,0.804515,1.04962,1.12251,1.33018,1.1741,1.23954,1.21725,1.38496,1.0803,1.36627,1.28721,0.913013,1.46467
OASIS-TRT-20-2,1.14849,1.18186,0.887385,1.24699,1.10997,1.15267,1.28227,0.861083,1.04082,1.11954,0.892751,0.950137,1.22279,1.01801,1.01975,1.19009,0.913043,1.1474,0.791742,0.928694,1.10922,1.21557,1.06571,1.18338,1.07972,1.24698,1.02987,1.29456,1.1844,0.944544,1.3422,1.10084,1.1113,0.862702,1.09326,1.0451,1.09578,1.18331,0.898883,1.06723,1.1872,0.974964,0.973611,1.17835,0.923813,1.03574,1.09996,1.05389,1.10057,0.850267,1.00093,1.01992,1.18228,1.04311,1.07935,1.06739,1.20944,1.00207,1.31603,1.15337,0.996872,1.27051
OASIS-TRT-20-3,1.1326,1.2485,0.832287,1.40163,1.15744,1.11937,1.30686,0.898357,0.943077,1.23729,0.884268,1.06572,1.29723,1.16484,1.08087,1.15145,1.18701,1.16542,0.769957,0.966474,1.01336,1.18083,1.04415,1.219,1.15783,1.30571,0.97395,1.32554,1.16909,0.960905,1.28841,1.09878,1.1699,0.83455,1.18245,1.11983,1.15074,1.25157,0.922878,1.03644,1.22083,0.940332,0.984254,1.29474,1.04405,1.06675,1.09114,1.04679,1.11363,0.788608,0.921894,1.11222,1.20646,1.08727,1.13863,1.15639,1.2951,0.960204,1.32118,1.19173,0.932802,1.34807
OASIS-TRT-20-4,1.23007,1.1955,0.835405,1.13503,1.19903,1.21229,1.29131,0.928346,1.0544,1.15704,1.00859,1.07246,1.26385,1.0337,1.06064,1.14157,1.01512,1.12721,0.820731,1.01043,1.06777,1.21827,1.04681,1.19426,1.16222,1.27882,1.04357,1.31856,1.1919,0.824847,1.26105,1.19513,1.17478,0.848547,1.16809,1.05588,1.23608,1.22468,0.923109,1.12654,1.20902,1.02349,0.911172,1.27087,1.10705,1.08798,1.14063,1.02446,1.12411,0.827922,0.927159,1.13143,1.19255,1.05053,1.14699,1.07914,1.28865,1.02147,1.3315,1.21273,0.93299,1.34527
OASIS-TRT-20-5,1.28786,1.27468,0.944294,1.20115,1.18975,1.23008,1.39875,1.06571,1.08682,1.22511,1.02347,1.12411,1.33893,0.957947,1.15899,1.21109,1.0154,1.15313,0.883229,1.05761,1.16443,1.2981,1.14431,1.12589,1.17392,1.36051,1.07915,1.35473,1.2961,1.00827,1.42808,1.25436,1.2332,0.948703,1.20406,1.12812,1.17216,1.25584,1.06032,1.2029,1.22128,1.03643,1.09891,1.29696,0.961604,1.09904,1.18159,1.11666,1.22202,0.890283,1.05618,1.15594,1.25553,1.11494,1.19815,1.16987,1.34034,1.07801,1.39264,1.23581,1.0333,1.37143
OASIS-TRT-20-6,1.18784,1.23454,0.796739,1.28581,1.14655,1.1,1.23845,0.9375,1.01,1.22757,0.973961,1.05362,1.26379,0.958104,1.01828,1.17664,1.02602,1.07302,0.717772,0.910577,1.01558,1.211,1.03123,1.28879,1.18506,1.26059,0.957697,1.30048,1.17081,0.832661,1.39058,1.22807,1.1884,0.843858,1.22464,1.12149,1.09942,1.21687,1.01105,1.06235,1.26977,1.01083,1.01728,1.21487,0.96771,1.07869,1.18789,1.09196,1.17644,0.722455,0.944268,1.03849,1.17397,1.0509,1.14639,1.13295,1.25324,0.93304,1.27419,1.12692,0.920455,1.48901
OASIS-TRT-20-7,1.20137,1.29353,0.896419,1.15122,1.18328,1.15213,1.24157,1.01102,1.09627,1.11126,0.94651,1.08117,1.23805,0.905028,1.05149,1.12659,1.15262,1.15991,0.812332,0.974068,1.03727,1.23627,1.08183,1.13114,1.14333,1.2899,1.0941,1.34658,1.2209,0.931144,1.35875,1.14144,1.16525,0.872602,1.19375,1.1357,1.2145,1.14441,0.968236,1.13121,1.20862,0.935587,0.934499,1.29919,0.86791,1.02448,1.1474,1.16177,1.06741,0.855978,1.0204,0.997508,1.26912,1.08819,1.0169,1.15581,1.28251,1.06358,1.20735,1.19615,0.950495,1.29095
OASIS-TRT-20-8,1.0218,1.25611,0.814429,1.17188,1.06597,1.23528,1.19261,0.95836,1.02996,1.135,0.888255,1.05206,1.14688,0.926599,1.03009,1.12161,1.11085,1.11628,0.781615,0.955506,0.883128,1.16672,1.01354,1.08592,1.21019,1.31049,1.11716,1.22439,1.2443,0.930172,1.18403,1.04193,1.21055,0.722072,1.29006,1.10141,1.18941,1.21242,0.926744,1.03982,1.20945,0.917855,1.0059,1.29737,0.917507,1.00305,1.15793,1.18373,1.11145,0.778454,0.936448,1.01695,1.16451,1.03578,1.06095,1.21598,1.30101,1.06737,1.21879,1.20527,0.79789,1.15965
OASIS-TRT-20-9,1.21185,1.24947,0.824837,1.26096,1.07736,1.20491,1.22633,0.958619,1.07892,1.08201,0.907706,1.02487,1.35699,1.10065,1.09756,1.24545,0.975254,1.15395,0.689532,0.98454,1.04463,1.2375,1.04755,1.00447,1.16409,1.3245,1.01246,1.34416,1.28248,0.862705,1.34908,1.1021,1.24182,0.83155,1.2808,1.06003,1.22129,1.19802,1.07149,1.11558,1.17001,0.933463,0.961973,1.3028,1.02221,1.08928,1.20829,1.02245,1.08451,0.721056,0.831914,1.06294,1.22212,1.10974,1.05239,1.12251,1.29157,1.05427,1.34364,1.2134,0.969925,1.37119
OASIS-TRT-20-10,1.09715,1.24301,0.874087,1.30133,1.11358,1.13106,1.37517,0.989203,0.991805,1.08605,0.998872,0.931227,1.2653,1.0401,1.08575,1.13243,1.06657,1.08317,0.842778,0.982661,1.14073,1.17328,1.02126,0.921769,1.0647,1.31872,1.01547,1.26323,1.19321,0.914336,1.35057,1.14264,1.14587,0.854575,1.29141,1.03031,1.13443,1.23018,1.04288,1.05659,1.19217,1.00342,0.989751,1.30102,1.02907,1.00438,1.2045,1.17485,1.07876,0.804971,0.960102,1.07692,1.18802,1.06931,0.884254,1.09605,1.25269,1.01214,1.34732,1.16412,0.882911,1.35547
