ID,left caudal anterior cingulate,left caudal middle frontal,left cuneus,left entorhinal,left fusiform,left inferior parietal,left inferior temporal,left isthmus cingulate,left lateral occipital,left lateral orbitofrontal,left lingual,left medial orbitofrontal,left middle temporal,left parahippocampal,left paracentral,left pars opercularis,left pars orbitalis,left pars triangularis,left pericalcarine,left postcentral,left posterior cingulate,left precentral,left precuneus,left rostral anterior cingulate,left rostral middle frontal,left superior frontal,left superior parietal,left superior temporal,left supramarginal,left transverse temporal,left insula,right caudal anterior cingulate,right caudal middle frontal,right cuneus,right entorhinal,right fusiform,right inferior parietal,right inferior temporal,right isthmus cingulate,right lateral occipital,right lateral orbitofrontal,right lingual,right medial orbitofrontal,right middle temporal,right parahippocampal,right paracentral,right pars opercularis,right pars orbitalis,right pars triangularis,right pericalcarine,right postcentral,right posterior cingulate,right precentral,right precuneus,right rostral anterior cingulate,right rostral middle frontal,right superior frontal,right superior parietal,right superior temporal,right supramarginal,right transverse temporal,right insula
OASIS-TRT-20-1,3189.33,8866.67,5702.67,1213.33,7736,9274.67,10562.7,2294.67,11792,7530.67,7742.67,5352,15245.3,2362.67,5345.33,3972,3466.67,6442.67,2760,10561.3,3582.67,11746.7,9660,3437.33,8542.67,17377.3,12628,11573.3,8894.67,2180,4760,2240,5258.67,6030.67,1478.67,6922.67,8501.33,9770.67,1934.67,13216,7261.33,7464,3552,11508,1821.33,4341.33,5742.67,1553.33,4538.67,3397.33,10497.3,3308,12592,8882.67,2686.67,10778.7,22750.7,12320,12148,13304,1356,4858.67
OASIS-TRT-20-2,2445.33,5236,7481.33,1741.33,8006.67,11036,11745.3,2445.33,10433.3,6222.67,6754.67,4214.67,12606.7,2166.67,4374.67,3896,1124,4676,2716,10316,3121.33,11632,10125.3,3561.33,12021.3,23382.7,13856,13208,10718.7,1372,4849.33,1893.33,6570.67,5856,1692,7560,9348,11541.3,2002.67,9884,7693.33,8010.67,4764,12386.7,1846.67,5204,2944,1734.67,5028,3268,10473.3,3342.67,11824,11001.3,1886.67,14010.7,21069.3,11561.3,15442.7,11921.3,1321.33,4614.67
OASIS-TRT-20-3,3101.33,6129.33,5537.33,1308,5460,8242.67,8833.33,2044,12964,6789.33,5965.33,5176,11796,2266.67,3665.33,2226.67,2245.33,4678.67,2420,10964,4125.33,10045.3,8312,2330.67,12014.7,17724,8496,13816,6340,922.667,5002.67,1940,6774.67,4748,1236,6521.33,9681.33,8017.33,2236,11550.7,6489.33,7038.67,3790.67,11389.3,1436,3606.67,3698.67,1964,4089.33,3080,9688,3228,8470.67,9562.67,2460,10806.7,21904,11776,10517.3,7076,1100,4802.67
OASIS-TRT-20-4,3456,4912,5766.67,1238.67,7082.67,11042.7,8642.67,2228,7964,6358.67,5989.33,4216,10453.3,1568,4038.67,3913.33,1225.33,3554.67,2965.33,12646.7,3222.67,11902.7,9718.67,4041.33,11740,14920,13576,11652,5689.33,1190.67,4570.67,2145.33,4097.33,5933.33,1354.67,6302.67,11257.3,10221.3,2253.33,10816,6374.67,7249.33,3137.33,9422.67,1549.33,3773.33,4628,2560,4856,2830.67,9232,3346.67,9432,9672,1632,11242.7,20221.3,11485.3,11192,8205.33,1136,4662.67
OASIS-TRT-20-5,3768,5190.67,6594.67,1192,11810.7,13937.3,9169.33,2568,11078.7,7494.67,7569.33,4957.33,10150.7,1862.67,4360,3988,1084,4148,2409.33,11744,3212,10733.3,9685.33,3838.67,9178.67,19868,12949.3,14238.7,11758.7,1868,4844,4590.67,6282.67,5757.33,1098.67,7734.67,9440,10440,2464,11685.3,7346.67,8454.67,4910.67,12636,1965.33,4497.33,3608,2238.67,3798.67,3196,11989.3,2946.67,12081.3,9869.33,3705.33,12442.7,15045.3,14398.7,14881.3,11769.3,1148,4917.33
OASIS-TRT-20-6,2592,7797.33,4860,1534.67,7001.33,11273.3,10780,2057.33,11902.7,6878.67,8056,4209.33,11121.3,1864,4124,5977.33,1508,2540,3012,10820,3582.67,11810.7,9917.33,3049.33,12073.3,20560,13989.3,15398.7,9677.33,1454.67,4280,2624,7720,5554.67,1561.33,7510.67,9604,10522.7,2330.67,12872,8169.33,7100,4864,12192,2001.33,4352,3516,2086.67,3846.67,3540,12097.3,2649.33,12945.3,11209.3,1616,11878.7,19801.3,12658.7,14658.7,10841.3,1158.67,4265.33
OASIS-TRT-20-7,3697.33,6293.33,4934.67,1597.33,8596,10874.7,8248,2196,12780,6438.67,9190.67,4438.67,12588,2137.33,3662.67,2808,2689.33,4622.67,2880,9237.33,4626.67,11420,8718.67,3517.33,10172,18616,12746.7,11692,8245.33,893.333,4358.67,2289.33,5713.33,4821.33,1253.33,8970.67,15202.7,8337.33,1986.67,11510.7,6016,7613.33,3754.67,11689.3,2180,3944,3770.67,3413.33,2480,3206.67,10001.3,3465.33,11584,9129.33,2250.67,10462.7,22006.7,14186.7,11421.3,5873.33,784,4601.33
OASIS-TRT-20-8,1560,6004,5001.33,1100,9446.67,11177.3,8561.33,2006.67,10466.7,7978.67,5630.67,5273.33,9810.67,1877.33,4769.33,3320,2278.67,3970.67,2554.67,10542.7,2917.33,10692,8506.67,2306.67,11158.7,22390.7,10938.7,13393.3,9646.67,1349.33,4201.33,1680,5669.33,3480,1370.67,7386.67,9202.67,8258.67,2266.67,11748,8164,7302.67,4354.67,12425.3,1844,5376,3510.67,1868,2310.67,3242.67,10218.7,3494.67,11022.7,7976,1613.33,12280,25122.7,13670.7,12576,9354.67,1102.67,4368
OASIS-TRT-20-9,4069.33,6130.67,4678.67,1618.67,7793.33,10236,7626.67,2049.33,10709.3,7804,5558.67,4312,8584,1656,4562.67,5864,1558.67,1469.33,1952,11468,4085.33,12113.3,8436,3824,11305.3,16970.7,10048,11277.3,8866.67,1344,4369.33,2004,6116,3606.67,1150.67,6706.67,9929.33,9218.67,2233.33,10454.7,7854.67,6240,3922.67,9948,1870.67,4372,6834.67,2237.33,3238.67,2596,6896,4274.67,10278.7,9748,1894.67,8268,23382.7,9692,10016,11965.3,981.333,4669.33
OASIS-TRT-20-10,1710.67,7613.33,4037.33,1438.67,6869.33,11104,8516,2288,10097.3,6164,7240,3206.67,9402.67,2112,4441.33,3436,2129.33,5192,1738.67,10772,2806.67,8693.33,7854.67,3497.33,7917.33,17717.3,7694.67,12584,9296,1146.67,4129.33,1869.33,5677.33,5278.67,1453.33,5962.67,14665.3,8312,2172,11074.7,6197.33,7346.67,3000,9469.33,1858.67,4046.67,4008,2205.33,2834.67,1742.67,9638.67,2786.67,10680,7589.33,2376,8776,20589.3,8600,11018.7,6148,1226.67,3985.33
