ID,left caudal anterior cingulate,left caudal middle frontal,left cuneus,left entorhinal,left fusiform,left inferior parietal,left inferior temporal,left isthmus cingulate,left lateral occipital,left lateral orbitofrontal,left lingual,left medial orbitofrontal,left middle temporal,left parahippocampal,left paracentral,left pars opercularis,left pars orbitalis,left pars triangularis,left pericalcarine,left postcentral,left posterior cingulate,left precentral,left precuneus,left rostral anterior cingulate,left rostral middle frontal,left superior frontal,left superior parietal,left superior temporal,left supramarginal,left transverse temporal,left insula,right caudal anterior cingulate,right caudal middle frontal,right cuneus,right entorhinal,right fusiform,right inferior parietal,right inferior temporal,right isthmus cingulate,right lateral occipital,right lateral orbitofrontal,right lingual,right medial orbitofrontal,right middle temporal,right parahippocampal,right paracentral,right pars opercularis,right pars orbitalis,right pars triangularis,right pericalcarine,right postcentral,right posterior cingulate,right precentral,right precuneus,right rostral anterior cingulate,right rostral middle frontal,right superior frontal,right superior parietal,right superior temporal,right supramarginal,right transverse temporal,right insula
OASIS-TRT-20-1,3806,11331,5384,1601,9396,10786,15974,2380,13840,9401,8501,6019,21586,2398,6497,4829,4511,7713,2421,10718,4076,15022,11434,4179,10318,23859,13373,16111,11850,2255,7253,2644,6837,5994,1878,8396,10455,13781,1909,16234,9687,8563,3861,16157,1721,4984,7400,1710,5456,2887,11107,3796,17050,10632,3435,13346,31779,13427,16816,17288,1296,7280
OASIS-TRT-20-2,3005,6300,6984,2201,9380,13011,15448,2232,11236,7053,6446,4161,15802,2304,4529,4782,1061,5518,2324,9631,3576,14353,11062,4331,13121,29688,14403,17677,13031,1405,6767,2150,7335,5358,1929,8159,10490,13834,1927,11049,9492,8216,4926,14969,1719,5439,3286,1894,5725,2993,10690,3534,14059,11829,2143,15218,25983,11745,20634,13987,1385,5976
OASIS-TRT-20-3,3559,7763,4782,1883,6540,9343,12095,1942,12486,8635,5501,5719,15726,2697,4095,2703,2817,5715,1908,10749,4305,12111,8935,2974,14192,23404,8320,18932,7560,922,6707,2204,8032,4102,1504,7613,11459,10376,2129,12388,8364,6876,4114,15271,1560,3963,4195,2169,4767,2517,9094,3713,10485,10772,2900,12764,28715,11442,14301,8600,1086,6834
OASIS-TRT-20-4,4205,5970,5064,1452,8693,13512,11526,2127,8620,7522,6419,4577,13454,1669,4293,4607,1280,4073,2617,13067,3580,14738,10477,4926,13911,19213,14287,15700,6914,1080,6108,2600,4846,5278,1637,6822,14235,12893,2174,12513,7964,7880,2962,12165,1721,4158,5430,2696,5712,2483,8684,3961,11335,10749,1923,12265,26351,11920,14901,10135,1076,6551
OASIS-TRT-20-5,4886,6764,6506,1439,14358,17430,12949,2904,12541,9288,8019,5657,13783,1779,5160,4819,1123,4817,2279,12488,3884,14181,11245,4430,10804,26975,14129,19471,15406,1986,7135,5756,7771,5588,1347,8703,11181,13215,2808,14339,9083,9038,5570,16346,1877,4969,4241,2479,4578,2963,12583,3539,15332,11284,4526,14736,20230,15486,20688,14716,1195,6856
OASIS-TRT-20-6,3212,9776,4027,2002,8392,12673,14007,2062,12394,8624,8210,4524,14385,1854,4296,7403,1612,2805,2282,9926,3823,14674,10668,4091,14483,26310,13574,20469,11477,1246,6182,3321,9215,4872,2036,8646,10793,13313,2488,14075,10790,7574,5168,15307,1962,4807,4291,2342,4703,2666,11669,2893,15385,12097,1882,13603,25189,11962,18951,12295,1091,6513
OASIS-TRT-20-7,4536,8151,4478,1863,10367,12642,10436,2264,14396,7227,8925,4787,15806,1927,3964,3162,3158,5380,2424,9067,4940,14170,9622,4042,11611,24046,13968,15802,10050,875,5995,2609,6661,4295,1505,10270,18580,9655,1942,13405,7331,7348,3565,15196,1863,4092,4395,3959,2688,2855,10164,3583,14844,10141,2338,12116,28502,15211,13805,7043,762,6128
OASIS-TRT-20-8,1578,7638,4278,1293,10252,14318,10191,1966,11101,9137,5088,5751,11197,1691,5015,3814,2548,4486,2069,10408,2668,12892,8988,2564,13644,30023,12455,16591,12290,1295,5095,1733,6965,2663,1774,8172,11263,9937,2189,12502,10060,6938,4623,16131,1698,5598,4270,2215,2574,2597,9774,3699,13278,8724,1754,14921,33362,14959,15536,11540,934,5240
OASIS-TRT-20-9,5134,7804,4040,2108,8684,12864,9641,2059,12251,8635,5362,4518,11914,1921,5142,7428,1519,1753,1415,11554,4467,15292,9188,3934,13549,22848,10401,15657,11711,1244,6111,2285,7700,3181,1519,7534,12561,11388,2479,12252,9452,6270,3868,13371,1945,4918,8426,2341,3583,1977,5821,4793,12924,11193,2017,9435,30562,10432,13692,14915,1020,6609
OASIS-TRT-20-10,1938,9521,3642,1948,7910,12778,12033,2388,10352,6736,7415,2976,11980,2259,4953,3879,2272,5726,1509,10722,3286,10350,8297,3227,8430,23534,7937,16100,11060,1048,5692,2237,6586,4713,1928,6385,17025,10426,2333,12070,7493,7645,3014,12545,1994,4219,4807,2611,3073,1489,9364,3079,12847,8255,2117,9627,25979,8780,14873,7258,1110,5517
OASIS-TRT-20-11,3227,8102,4326,2420,9277,12196,11701,2256,9893,6520,7710,3511,13088,1899,3606,6502,2421,3647,2549,11530,5475,14576,10513,3504,12448,25642,10968,20002,12882,1351,6268,2569,5875,5124,1921,8346,15830,11415,3549,12011,8515,8410,3733,12585,1965,4255,6133,2839,5860,2983,12341,3526,12005,11121,2714,11607,25454,10180,17594,9805,999,6412
OASIS-TRT-20-12,3359,6582,4294,2110,7223,8075,11554,2524,12345,7785,7025,3930,14631,1879,4247,4426,2603,6395,2070,14999,3000,12842,10843,3852,11083,26047,9920,13981,11770,898,5758,3255,6369,2705,1876,8101,12901,11141,2297,12429,8898,7057,5023,12788,1914,2999,4315,2843,3021,2199,9973,3988,12043,11084,3398,13914,25082,13136,13110,9822,988,5813
OASIS-TRT-20-13,2760,8414,4225,2486,7666,13390,11957,1985,10558,7553,5533,4697,12322,1920,4155,3191,3028,4332,1957,8987,3286,13166,7827,2530,9258,25971,13435,13904,9547,938,4798,1548,5782,3190,1937,6642,11200,10311,1932,15281,8555,6006,3458,13157,1838,2812,5748,2918,3008,1823,8164,4396,11769,8251,3846,10616,28125,12164,15148,9326,1124,4805
OASIS-TRT-20-14,1967,6732,3305,2038,6549,10754,11311,2357,12388,8063,6676,2905,11011,1798,3076,3354,2623,3538,1865,9440,2833,11661,8039,3122,9392,24589,10812,15961,10081,606,5513,3124,6227,4415,1986,6394,12376,9919,2251,13033,7670,8214,4064,12694,2142,3767,3474,1942,3652,2072,6857,2775,11225,7702,2304,9274,23869,12278,13603,7189,710,5566
OASIS-TRT-20-15,1581,5777,2557,1893,7103,9998,9989,2425,10220,6457,7516,3421,13306,2116,3183,6921,2617,1924,1719,7756,3428,11862,7556,2443,9710,24798,10485,15190,11124,1265,5609,1776,7128,3401,1504,7445,11076,10726,2236,11561,7745,7472,3023,9778,1821,3164,4313,3673,3675,2049,9372,2642,9917,8298,2643,7729,24699,10552,14162,9048,905,4971
OASIS-TRT-20-16,4876,8156,3771,2221,8938,10052,11441,2517,10629,7693,6386,5391,15162,1904,3774,6551,2739,6007,2347,11960,4917,12669,11347,5784,9403,24444,13102,16469,16954,1201,6376,2865,6366,4769,2348,6775,16836,11774,2352,12910,9032,6567,5292,17102,1869,4881,6584,2292,5322,2979,8534,3303,11983,12493,2309,8774,31791,11309,13512,13123,1016,6365
OASIS-TRT-20-17,4470,7417,3910,2382,7655,9191,17012,2998,14712,8749,6714,3614,13348,2313,4476,3756,2775,3629,3138,10237,5161,16267,7622,2172,16200,25881,12117,18779,11218,1158,6669,3072,6450,4453,1954,9588,11733,14357,2195,12679,8169,7880,4643,13689,2289,5445,4710,1874,5348,2834,12150,4333,14400,7041,4351,14957,27234,14678,18159,9882,841,6376
OASIS-TRT-20-18,4969,5827,4484,1913,8020,11619,12830,2167,14198,7158,6832,4449,10591,2732,5469,5910,2003,5936,1554,10870,3776,14221,10557,3545,15939,25235,13103,21078,11282,1743,6942,2573,6127,4287,2401,6828,13334,11854,2216,13989,8513,5511,3415,14604,2285,3893,4860,1757,6621,2146,10078,3551,11692,10913,2729,12339,29961,12646,16827,14014,887,6771
OASIS-TRT-20-19,1977,4691,2979,1605,6842,12943,8467,2129,9020,5845,5934,4202,15158,2143,3740,2221,1978,3670,1874,10952,2587,13076,9043,3044,11334,23207,7887,13788,10522,1064,5050,1783,5963,3170,1836,6353,11850,10468,1958,10456,9355,5612,3839,13519,2015,3103,3706,1636,4036,2252,10901,2525,11279,9588,1933,9205,23283,8203,13994,11240,931,4747
OASIS-TRT-20-20,2618,5465,3352,1536,11201,9037,8741,2076,11498,8835,3676,2881,12897,2197,5072,5291,2371,2776,1534,9517,2783,13465,9067,5538,10343,19359,10779,16880,11996,1089,5993,2129,4972,3509,1809,7904,14300,11756,1578,9888,7930,6599,3979,13075,2144,4744,4427,2186,3916,1692,6912,3350,12213,8147,1370,11252,26832,12464,12052,11555,1161,5591
