ID,left caudal anterior cingulate,left caudal middle frontal,left cuneus,left entorhinal,left fusiform,left inferior parietal,left inferior temporal,left isthmus cingulate,left lateral occipital,left lateral orbitofrontal,left lingual,left medial orbitofrontal,left middle temporal,left parahippocampal,left paracentral,left pars opercularis,left pars orbitalis,left pars triangularis,left pericalcarine,left postcentral,left posterior cingulate,left precentral,left precuneus,left rostral anterior cingulate,left rostral middle frontal,left superior frontal,left superior parietal,left superior temporal,left supramarginal,left transverse temporal,left insula,right caudal anterior cingulate,right caudal middle frontal,right cuneus,right entorhinal,right fusiform,right inferior parietal,right inferior temporal,right isthmus cingulate,right lateral occipital,right lateral orbitofrontal,right lingual,right medial orbitofrontal,right middle temporal,right parahippocampal,right paracentral,right pars opercularis,right pars orbitalis,right pars triangularis,right pericalcarine,right postcentral,right posterior cingulate,right precentral,right precuneus,right rostral anterior cingulate,right rostral middle frontal,right superior frontal,right superior parietal,right superior temporal,right supramarginal,right transverse temporal,right insula
OASIS-TRT-20-1,3816,11328,5416,1612,9362,10760,15971,2407,13829,9423,8439,6009,21526,2405,6513,4847,4508,7709,2439,10747,4079,14997,11401,4195,10353,23853,13395,16139,11946,2257,7256,2653,6864,6007,1898,8366,10485,13774,1904,16199,9702,8477,3883,16142,1733,4995,7423,1716,5437,2863,11140,3827,17037,10653,3436,13354,31760,13449,16827,17283,1305,7255
OASIS-TRT-20-2,2983,6308,6950,2208,9303,12976,15459,2248,11245,7080,6404,4173,15761,2317,4544,4781,1064,5506,2333,9729,3585,14381,11028,4358,13187,29728,14414,17675,13011,1408,6745,2187,7342,5343,1946,8057,10480,13870,1932,11011,9496,8191,4907,14932,1738,5448,3294,1897,5698,2968,10742,3567,14077,11801,2140,15275,25974,11783,20623,13965,1381,5968
OASIS-TRT-20-3,3576,7764,4774,1895,6494,9349,12044,1968,12514,8633,5486,5735,15719,2690,4090,2699,2814,5709,1929,10791,4325,12098,8931,3002,14158,23428,8350,18888,7543,934,6698,2221,8052,4116,1523,7582,11443,10388,2146,12371,8357,6808,4063,15259,1580,3974,4206,2155,4750,2492,9112,3700,10493,10748,2883,12785,28708,11461,14304,8590,1092,6850
OASIS-TRT-20-4,4238,5952,5018,1471,8657,13479,11503,2155,8587,7530,6338,4593,13417,1687,4326,4615,1298,4082,2576,13052,3582,14707,10443,4914,13897,19213,14276,15719,6913,1080,6085,2599,4873,5218,1640,6790,14210,12882,2197,12452,7936,7784,2985,12119,1727,4188,5437,2695,5670,2465,8719,3960,11326,10665,1930,12236,26297,11894,14911,10140,1086,6547
OASIS-TRT-20-5,4887,6766,6498,1459,14304,17377,12986,2903,12510,9288,7979,5670,13791,1792,5200,4825,1121,4817,2254,12539,3883,14177,11228,4406,10822,27027,14157,19434,15370,1991,7148,5760,7779,5610,1363,8682,11159,13260,2795,14292,9101,8952,5559,16314,1895,4975,4249,2476,4572,2932,12646,3531,15356,11249,4537,14706,20223,15509,20689,14749,1200,6848
OASIS-TRT-20-6,3204,9766,4040,2023,8327,12672,13945,2085,12388,8629,8154,4539,14414,1860,4289,7394,1617,2797,2294,9986,3824,14658,10623,4076,14502,26353,13538,20454,11527,1239,6202,3378,9222,4864,2028,8631,10830,13272,2502,14040,10749,7530,5161,15275,1978,4798,4278,2363,4643,2649,11685,2905,15379,12091,1903,13606,25237,12030,18994,12318,1107,6502
OASIS-TRT-20-7,4554,8132,4506,1888,10304,12592,10411,2293,14310,7241,8877,4786,15781,1944,3962,3180,3172,5382,2411,9090,4907,14166,9611,4051,11630,24109,14006,15807,10057,879,5993,2639,6687,4306,1528,10238,18564,9668,1961,13306,7321,7335,3581,15197,1877,4087,4380,3981,2697,2835,10204,3603,14825,10110,2347,12099,28494,15222,13825,7019,768,6126
OASIS-TRT-20-8,1609,7607,4222,1300,10212,14209,10204,1987,11048,9133,5037,5733,11218,1700,4998,3806,2552,4483,2052,10401,2680,12809,8911,2570,13638,29895,12463,16526,12292,1301,5055,1756,6955,2663,1782,8171,11209,9937,2197,12457,10032,6868,4603,16096,1698,5593,4255,2227,2583,2599,9789,3699,13218,8626,1764,14942,33259,14872,15529,11479,933,5237
OASIS-TRT-20-9,5114,7830,4056,2110,8662,12854,9706,2054,12153,8620,5324,4575,11927,1921,5160,7481,1537,1754,1414,11569,4471,15284,9150,3971,13519,22882,10431,15698,11686,1263,6132,2310,7691,3161,1525,7505,12519,11386,2493,12255,9474,6243,3921,13358,1964,4925,8429,2338,3576,1993,5860,4779,12873,11164,2029,9450,30507,10471,13680,14886,1032,6600
OASIS-TRT-20-10,1950,9490,3670,1952,7899,12784,12019,2382,10287,6748,7381,3006,12022,2248,4951,3888,2291,5748,1517,10711,3299,10328,8294,3252,8458,23496,7945,16070,11073,1046,5685,2235,6562,4707,1944,6333,16971,10427,2343,12048,7525,7638,3026,12521,2006,4205,4818,2616,3091,1479,9409,3080,12837,8275,2134,9673,25969,8753,14896,7275,1116,5505
