"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lcACC","newANTsNative",0.187665463399975,0.196356396734401,0.198518932070017,0.200747015186303,0.212139464111893,0.0032638519163374,0.896211686635584,0.97645365689345,0.994573389995398,1.0140446433796,1.09916412111616,0.0272659838140299,4.45287672392742,4.90254503214567,5.01168794905141,5.12059752067647,5.63809570568035,0.162673085876624
"lcMFG","newANTsNative",0.273002948615181,0.285182017398405,0.288350561890877,0.291624967989679,0.305695422555387,0.00482017944758681,0.884585717712379,0.949232431960488,0.967103278531843,0.984505298018254,1.06519538045625,0.0266294927065487,3.0029500347985,3.28143621151057,3.35496120606633,3.42586873970519,3.82445479660324,0.108458886129611
"lCUN","newANTsNative",0.225876241414194,0.236737812081374,0.239351656341003,0.242010892346254,0.253093734456066,0.00393735683522349,0.905226694184737,0.971853815080967,0.989452713079934,1.00767115441728,1.10212959072924,0.0268107456676816,3.68719622262968,4.04561368226368,4.13341577664602,4.22315429309571,4.59066583784089,0.13109772559413
"lENT","newANTsNative",0.276310358080915,0.28830467739273,0.291548130047511,0.29496509743147,0.314766045374819,0.00484743547271975,0.871714350838223,0.944991388140047,0.963372367133319,0.98197832816891,1.06360044040909,0.0270718374016551,2.89520428134874,3.22974618743963,3.30281618826848,3.37581990822741,3.71972122286624,0.109196396298882
"lFUS","newANTsNative",0.212587259863011,0.223546056204091,0.225972444890635,0.228431673135299,0.240543751384217,0.0036511915133866,0.902631162365434,0.975235307552996,0.993082228646754,1.0124735604284,1.09998113312335,0.0274582487312648,3.95583514564748,4.29829005284256,4.39519736208964,4.49201951388951,4.95705668964917,0.143987149421299
"lIPL","newANTsNative",0.200019697656723,0.209110514132063,0.211409309358832,0.213797554474082,0.224568921198733,0.00349580897617323,0.9072000776516,0.974859862903895,0.993225551050343,1.01174778706537,1.09889680241591,0.027678082672872,4.10758624984667,4.59804813921237,4.69519455767302,4.79567156381216,5.25079045634154,0.151328145925701
"lITG","newANTsNative",0.287722438196323,0.300278481875087,0.303598087703455,0.30704277942905,0.323334600429058,0.00506152141281259,0.889664721569047,0.955751510269463,0.973900081030593,0.992279450675774,1.07761287670398,0.0267978687260852,2.84532736859919,3.13842022914727,3.20846503027739,3.27621432545229,3.58158426422848,0.103260328356925
"liCC","newANTsNative",0.200135279137631,0.21096403246269,0.21326456024503,0.215648095041386,0.225709416930784,0.0035642780375291,0.909088722714054,0.97652954661005,0.994476688919741,1.01322676928687,1.10515587230013,0.0273593360539545,4.13006858427846,4.56487100422795,4.66279845838761,4.76514069152819,5.19695229597836,0.151566606366018
"lLOG","newANTsNative",0.245353073127872,0.261213840109014,0.264024976004177,0.266956635552588,0.27928440794904,0.00433091482343276,0.88880533157216,0.959596685137365,0.977535325325129,0.996121434995201,1.08211814394521,0.0269420964356072,3.34258916973525,3.62681284905756,3.7025536593745,3.78188391645215,4.17277252870676,0.116593592209038
"lLOF","newANTsNative",0.225126703108994,0.237632124960929,0.240142774969241,0.242770492122232,0.256883790250177,0.00391258735989845,0.883738520135438,0.968786657450673,0.987809051971419,1.00590759154143,1.08556339970061,0.0274761324048109,3.54146201457047,4.02393878640499,4.10997958268292,4.20075497504628,4.69495470221665,0.134007779158695
"lLING","newANTsNative",0.248387383259555,0.259114924241406,0.26215732487439,0.265139341057386,0.278586303421147,0.00443769693679273,0.863791147394794,0.974655206152507,0.99361587610048,1.01286195542119,1.09857742582831,0.0278729859315876,3.26473261688129,3.70674551522109,3.79019535182073,3.87530226694445,4.29155232141051,0.12441961095825
"lMOF","newANTsNative",0.261174046584591,0.272188257512665,0.275255344248629,0.278413217090505,0.291517028949818,0.00462603175106411,0.876187638397877,0.95522459404199,0.972842670484977,0.993154886832253,1.09341668013996,0.0277545292933398,3.11897480238271,3.45630663775974,3.53588502236735,3.6209167273178,3.96141487153844,0.117259151766383
"lMGH","newANTsNative",0.219400242082397,0.228569217065243,0.231108874379673,0.233717497752496,0.244596625501632,0.00388104743173902,0.903684215104855,0.974813218150144,0.993822097841046,1.01239802633226,1.09958245159545,0.0268871702769521,3.81142433831535,4.2055242101414,4.29839891681632,4.39357864817618,4.85653966310772,0.136285393166745
"lPARH","newANTsNative",0.192501304497781,0.203162072475603,0.2054964987129,0.208005591411402,0.218192660250084,0.00351641269170785,0.911661865621269,0.979191680254939,0.998751631951963,1.018332690944,1.10784616189759,0.0283742608155356,4.33845041941975,4.7513381926186,4.8592631692534,4.96978136198415,5.57291322220736,0.159587786726407
"lparaC","newANTsNative",0.177987405823679,0.186366209624117,0.188460246961699,0.190445490922852,0.199776528423335,0.00307542531843735,0.902290099033452,0.967261008405283,0.985452870931197,1.00313426807758,1.09000700796614,0.0266523225926551,4.65539944147019,5.11628320025883,5.22691251245416,5.34499172613694,5.89031625091383,0.166743243876579
"lpOPER","newANTsNative",0.223035295997057,0.231990427639019,0.234606969814505,0.237150485695532,0.247900275899923,0.00382006859792582,0.878606166514643,0.960054191631558,0.977128422284399,0.995271820042517,1.07868140908966,0.0271221811700618,3.68434005753234,4.07544797960979,4.16683528794796,4.25846765884855,4.67641455308115,0.135996939570526
"lpORB","newANTsNative",0.253357113158882,0.266879308417304,0.269900559367314,0.272795508583532,0.284694231712024,0.00441170649055081,0.90668705699383,0.971548339108938,0.990351633671363,1.00910049037371,1.08615917485942,0.027346724539753,3.28148684921579,3.59028109362374,3.66768684654122,3.75009253279608,4.07628948848712,0.118939641340645
"lpTRI","newANTsNative",0.216111951172296,0.227262642973988,0.229728924866368,0.232227989057021,0.243571362980249,0.00379359103655261,0.883405546066913,0.964040394337767,0.980861326629321,1.00032216482981,1.1124207340509,0.0268904387427846,3.8302831228289,4.18253423284158,4.27192483874764,4.36313416536264,4.86221436860366,0.137714592424684
"lperiCAL","newANTsNative",0.208154053159296,0.219491172029049,0.221815139969781,0.224339364373425,0.234885489509457,0.00368123731106599,0.89483737848433,0.963689799580858,0.98218841257757,1.0016279044491,1.07892017427367,0.0278347991800006,3.93932067196085,4.33010187750713,4.42646910971166,4.52585061762541,5.05878054917231,0.147178164605632
"lpostC","newANTsNative",0.261280441915638,0.276890680748185,0.280156221915745,0.283182601373216,0.296923463138191,0.00455266659423448,0.880543397839062,0.951404879867235,0.969883472689213,0.988011529679075,1.08022351320002,0.0271168174918336,3.09560696620261,3.39023650017204,3.46351030875008,3.53755591551405,3.91138060462482,0.111684320734146
"lPCC","newANTsNative",0.184758748998277,0.192993239600865,0.195155291685705,0.197434515932192,0.208653612489228,0.00330324619031434,0.889767247360686,0.977261509779006,0.995462961423778,1.01468415579507,1.09630117916933,0.0273906997217146,4.48609882174986,4.99214334828349,5.10079972579715,5.21527367027445,5.73280882003257,0.164997699732278
"lPreC","newANTsNative",0.263832500936761,0.276602136713459,0.279481695175871,0.28256804005956,0.298492223972419,0.00453425665178076,0.891664750022855,0.962930786574505,0.981142564229104,0.999083907110983,1.08478760000524,0.0265302441168483,3.1739399523449,3.43628609538123,3.50998275520658,3.58825010100014,3.96600986236885,0.113854205531401
"lPCUN","newANTsNative",0.173388942861383,0.180412620242252,0.182465952798331,0.18453336391139,0.19391859878704,0.00302935172300558,0.910960072500582,0.976814946130643,0.994989453463133,1.01323898231637,1.10130520152139,0.0269442495325444,4.88744176253723,5.33945042392384,5.45397638010615,5.56835480089375,6.13260507394144,0.174799140804034
"lrACC","newANTsNative",0.206527348587425,0.216714915304432,0.21909714902521,0.221622498252299,0.233215773820289,0.00362279474852507,0.905032189723145,0.969765818109528,0.988809461779347,1.0069283874143,1.1141959211311,0.0275108252923026,4.06567686100597,4.41181620318046,4.50808798997044,4.61165522192095,5.20049731651581,0.147069453571179
"lrMFG","newANTsNative",0.24403110130325,0.257666405456263,0.260557599509043,0.263584478327948,0.277292420815558,0.00439260936385475,0.89812639719916,0.965301169727679,0.984230817364672,1.00241239056018,1.08977434974958,0.0279893039622485,3.35230998030792,3.6895739591505,3.77692526533256,3.86205248893046,4.23335118926456,0.125957527396067
"lSFG","newANTsNative",0.261185029468045,0.273817016162676,0.276941969142335,0.279995319558234,0.293623560909325,0.00456535784666875,0.892880468767342,0.958368245035702,0.976815177803394,0.99540556401778,1.07742541719762,0.0279311909124057,3.05804481073537,3.45204243547117,3.5290828138247,3.60542665748834,4.08135926121408,0.116858973933069
"lSPL","newANTsNative",0.214718024427837,0.224022869055148,0.226478295799637,0.229040340906346,0.240466896729064,0.00375829722228389,0.907616103618155,0.97220852580157,0.990784896940129,1.00948246877549,1.09193233002933,0.0273579089424623,3.91154222623172,4.27952529112819,4.37599323938337,4.46706635163659,4.91725568818544,0.141015661945628
"lSTG","newANTsNative",0.223201973403839,0.235317085076657,0.237871324823469,0.240516399881031,0.253645406338912,0.00387519485643829,0.90303402753859,0.964637343295276,0.983021711432101,1.00192919633666,1.08382855141157,0.0271686564644094,3.69615864159995,4.04024731087572,4.13047842444588,4.22566493006777,4.61091885094143,0.135064977930764
