"","proc","regions","ratios"
"1","cross","lcACC",4.2435
"2","cross","lcMFG",2.6738
"3","cross","lCUN",3.3878
"4","cross","lENT",3.9685
"5","cross","lFUS",4.1232
"6","cross","lIPL",3.4788
"7","cross","lITG",3.3222
"8","cross","liCC",4.0513
"9","cross","lLOG",3.3902
"10","cross","lLOF",4.4883
"11","cross","lLING",3.7664
"12","cross","lMOF",3.601
"13","cross","lMTG",3.4702
"14","cross","lPARH",5.5193
"15","cross","lparaC",3.5625
"16","cross","lpOPER",3.3993
"17","cross","lpORB",3.2425
"18","cross","lpTRI",3.3854
"19","cross","lperiCAL",2.6337
"20","cross","lpostC",3.3334
"21","cross","lPCC",4.5475
"22","cross","lpreC",3.217
"23","cross","lPCUN",4.5469
"24","cross","lrACC",3.8018
"25","cross","lrMFG",3.1204
"26","cross","lSFG",2.9362
"27","cross","lSPL",3.304
"28","cross","lSTG",3.8828
"29","cross","lSMAR",3.4059
"30","cross","lTT",2.4788
"31","cross","lINS",4.4766
"32","cross","rcACC",4.3777
"33","cross","rcMFG",2.7539
"34","cross","rCUN",3.1978
"35","cross","rENT",3.9023
"36","cross","rFUS",4.1842
"37","cross","rIPL",3.4757
"38","cross","rITG",3.4567
"39","cross","riCC",4.0633
"40","cross","rLOG",3.2874
"41","cross","rLOF",4.0098
"42","cross","rLING",3.4638
"43","cross","rMOF",3.4928
"44","cross","rMTG",3.547
"45","cross","rPARH",5.2052
"46","cross","rparaC",3.512
"47","cross","rpOPER",3.2737
"48","cross","rpORB",3.3805
"49","cross","rpTRI",3.3655
"50","cross","rperiCAL",2.7811
"51","cross","rpostC",3.2635
"52","cross","rPCC",4.4952
"53","cross","rpreC",3.2035
"54","cross","rPCUN",4.2917
"55","cross","rrACC",3.8207
"56","cross","rrMFG",3.3237
"57","cross","rSFG",3.1541
"58","cross","rSPL",3.3167
"59","cross","rSTG",3.9548
"60","cross","rSMAR",3.2864
"61","cross","rTT",2.3799
"62","cross","rINS",4.8288
"63","long1","lcACC",5.2217
"64","long1","lcMFG",3.526
"65","long1","lCUN",3.6357
"66","long1","lENT",3.3062
"67","long1","lFUS",3.835
"68","long1","lIPL",4.7511
"69","long1","lITG",2.9686
"70","long1","liCC",4.6375
"71","long1","lLOG",4.3772
"72","long1","lLOF",3.8371
"73","long1","lLING",5.0013
"74","long1","lMOF",3.2956
"75","long1","lMTG",4.1593
"76","long1","lPARH",5.278
"77","long1","lparaC",3.4685
"78","long1","lpOPER",4.3184
"79","long1","lpORB",3.4406
"80","long1","lpTRI",2.9441
"81","long1","lperiCAL",3.0548
"82","long1","lpostC",3.4341
"83","long1","lPCC",5.3016
"84","long1","lpreC",3.4773
"85","long1","lPCUN",5.9636
"86","long1","lrACC",3.2359
"87","long1","lrMFG",3.869
"88","long1","lSFG",3.6955
"89","long1","lSPL",4.3098
"90","long1","lSTG",4.7593
"91","long1","lSMAR",4.901
"92","long1","lTT",2.7606
"93","long1","lINS",4.1167
"94","long1","rcACC",4.6217
"95","long1","rcMFG",3.6796
"96","long1","rCUN",2.9526
"97","long1","rENT",3.1055
"98","long1","rFUS",3.851
"99","long1","rIPL",4.6085
"100","long1","rITG",3.0429
"101","long1","riCC",3.9919
"102","long1","rLOG",4.105
"103","long1","rLOF",3.9277
"104","long1","rLING",3.9179
"105","long1","rMOF",3.6167
"106","long1","rMTG",4.3318
"107","long1","rPARH",5.4883
"108","long1","rparaC",2.9848
"109","long1","rpOPER",3.9341
"110","long1","rpORB",3.9315
"111","long1","rpTRI",3.4525
"112","long1","rperiCAL",2.3742
"113","long1","rpostC",3.0876
"114","long1","rPCC",4.2118
"115","long1","rpreC",3.0775
"116","long1","rPCUN",4.4619
"117","long1","rrACC",3.4323
"118","long1","rrMFG",4.21
"119","long1","rSFG",3.9117
"120","long1","rSPL",3.5204
"121","long1","rSTG",4.7266
"122","long1","rSMAR",4.173
"123","long1","rTT",2.1647
"124","long1","rINS",4.3638
"125","long2","lcACC",6.22
"126","long2","lcMFG",4.05
"127","long2","lCUN",4.98
"128","long2","lENT",4.96
"129","long2","lFUS",5.77
"130","long2","lIPL",5.22
"131","long2","lITG",4.61
"132","long2","liCC",5.62
"133","long2","lLOG",4.7
"134","long2","lLOF",5.6
"135","long2","lLING",5.2
"136","long2","lMOF",4.73
"137","long2","lMTG",4.92
"138","long2","lPARH",6.64
"139","long2","lparaC",5.89
"140","long2","lpOPER",4.7
"141","long2","lpORB",4.1
"142","long2","lpTRI",4.16
"143","long2","lperiCAL",3.68
"144","long2","lpostC",4.97
"145","long2","lPCC",6.87
"146","long2","lpreC",4.67
"147","long2","lPCUN",7.62
"148","long2","lrACC",6.08
"149","long2","lrMFG",4.2
"150","long2","lSFG",3.76
"151","long2","lSPL",5.59
"152","long2","lSTG",5.44
"153","long2","lSMAR",4.89
"154","long2","lTT",3.22
"155","long2","lINS",5.57
