"","region_var","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","method"
"1","var_ratio[1]",4.25,0,0.15,3.98,4.15,4.24,4.35,4.53,927,1,"cross"
"2","var_ratio[2]",2.68,0,0.09,2.51,2.61,2.67,2.74,2.86,936,1,"cross"
"3","var_ratio[3]",3.39,0,0.12,3.15,3.3,3.39,3.47,3.62,935,1.01,"cross"
"4","var_ratio[4]",3.97,0,0.13,3.7,3.88,3.97,4.05,4.24,1000,1,"cross"
"5","var_ratio[5]",4.13,0,0.14,3.85,4.03,4.12,4.23,4.42,1000,1,"cross"
"6","var_ratio[6]",3.48,0,0.12,3.25,3.4,3.48,3.57,3.72,1000,1,"cross"
"7","var_ratio[7]",3.32,0,0.11,3.1,3.25,3.32,3.4,3.55,983,1,"cross"
"8","var_ratio[8]",4.06,0,0.14,3.78,3.97,4.05,4.15,4.34,1000,1,"cross"
"9","var_ratio[9]",3.39,0,0.12,3.17,3.31,3.39,3.47,3.64,1000,1,"cross"
"10","var_ratio[10]",4.5,0,0.15,4.2,4.4,4.49,4.61,4.8,1000,1,"cross"
"11","var_ratio[11]",3.77,0,0.13,3.53,3.68,3.77,3.86,4.03,965,1,"cross"
"12","var_ratio[12]",3.6,0,0.13,3.36,3.52,3.6,3.69,3.86,1000,0.99,"cross"
"13","var_ratio[13]",3.48,0,0.12,3.24,3.4,3.47,3.55,3.71,940,1,"cross"
"14","var_ratio[14]",5.53,0.01,0.19,5.21,5.4,5.52,5.66,5.93,1000,1,"cross"
"15","var_ratio[15]",3.57,0,0.12,3.34,3.48,3.56,3.65,3.82,1000,1,"cross"
"16","var_ratio[16]",3.4,0,0.12,3.16,3.32,3.4,3.48,3.63,1000,1,"cross"
"17","var_ratio[17]",3.25,0,0.11,3.04,3.17,3.24,3.32,3.47,1000,1,"cross"
"18","var_ratio[18]",3.39,0,0.12,3.16,3.31,3.39,3.47,3.64,995,1,"cross"
"19","var_ratio[19]",2.64,0,0.09,2.46,2.58,2.63,2.7,2.84,1000,1,"cross"
"20","var_ratio[20]",3.33,0,0.11,3.12,3.25,3.33,3.41,3.56,1000,1,"cross"
"21","var_ratio[21]",4.55,0,0.16,4.25,4.44,4.55,4.65,4.85,1000,1,"cross"
