ID,left caudal anterior cingulate,left caudal middle frontal,left cuneus,left entorhinal,left fusiform,left inferior parietal,left inferior temporal,left isthmus cingulate,left lateral occipital,left lateral orbitofrontal,left lingual,left medial orbitofrontal,left middle temporal,left parahippocampal,left paracentral,left pars opercularis,left pars orbitalis,left pars triangularis,left pericalcarine,left postcentral,left posterior cingulate,left precentral,left precuneus,left rostral anterior cingulate,left rostral middle frontal,left superior frontal,left superior parietal,left superior temporal,left supramarginal,left transverse temporal,left insula,right caudal anterior cingulate,right caudal middle frontal,right cuneus,right entorhinal,right fusiform,right inferior parietal,right inferior temporal,right isthmus cingulate,right lateral occipital,right lateral orbitofrontal,right lingual,right medial orbitofrontal,right middle temporal,right parahippocampal,right paracentral,right pars opercularis,right pars orbitalis,right pars triangularis,right pericalcarine,right postcentral,right posterior cingulate,right precentral,right precuneus,right rostral anterior cingulate,right rostral middle frontal,right superior frontal,right superior parietal,right superior temporal,right supramarginal,right transverse temporal,right insula
OASIS-TRT-20-1,3254.67,8905.33,5936,1268,7980,9405.33,10816,2434.67,11981.3,7621.33,8058.67,5398.67,15502.7,2464,5430.67,4048,3517.33,6538.67,2898.67,10609.3,3632,11860,9753.33,3546.67,8701.33,17601.3,12714.7,11845.3,9054.67,2260,4862.67,2292,5385.33,6309.33,1577.33,7013.33,8708,9948,2069.33,13466.7,7364,7738.67,3610.67,11584,1846.67,4404,5840,1577.33,4550.67,3558.67,10613.3,3409.33,12808,9073.33,2772,10970.7,22932,12449.3,12316,13426.7,1429.33,4953.33
OASIS-TRT-20-2,2597.33,5337.33,7832,1770.67,8381.33,11257.3,12056,2610.67,10804,6324,7173.33,4392,12889.3,2276,4456,4017.33,1165.33,4798.67,2946.67,10476,3232,11830.7,10348,3682.67,12213.3,23840,13996,13653.3,10985.3,1490.67,5025.33,1986.67,6606.67,6193.33,1780,7709.33,9564,11721.3,2149.33,10317.3,7998.67,8401.33,5040,12672,1881.33,5260,2994.67,1800,5177.33,3490.67,10732,3497.33,11906.7,11313.3,1982.67,14310.7,21476,11758.7,15670.7,12108,1385.33,4697.33
OASIS-TRT-20-3,3157.33,6218.67,5736,1352,5610.67,8352,9216,2190.67,13269.3,6977.33,6204,5381.33,12117.3,2309.33,3784,2344,2370.67,4898.67,2505.33,11165.3,4268,10245.3,8553.33,2462.67,12228,17942.7,8573.33,14249.3,6452,972,5198.67,2021.33,6882.67,4932,1288,6770.67,9944,8300,2325.33,11936,6845.33,7240,4128,11785.3,1513.33,3725.33,3854.67,2058.67,4265.33,3160,9884,3326.67,8697.33,9885.33,2532,11056,22166.7,11936,10826.7,7208,1170.67,5081.33
OASIS-TRT-20-4,3445.33,4978.67,6006.67,1296,7220,11118.7,8908,2321.33,8144,6508,6284,4282.67,10616,1632,4078.67,4042.67,1278.67,3621.33,3138.67,12917.3,3354.67,12072,9976,4114.67,11957.3,15024,13680,11921.3,5800,1309.33,4825.33,2174.67,4148,6149.33,1404,6430.67,11496,10518.7,2380,11053.3,6564,7605.33,3276,9536,1560,3849.33,4766.67,2630.67,5044,2977.33,9404,3500,9497.33,10152,1682.67,11338.7,20406.7,11644,11198.7,8361.33,1164,4866.67
OASIS-TRT-20-5,3794.67,5308,6881.33,1214.67,12022.7,14126.7,9284,2724,11510.7,7581.33,7796,5044,10300,1870.67,4486.67,3984,1104,4177.33,2552,11856,3334.67,10921.3,9812,3913.33,9218.67,19865.3,13118.7,14345.3,11858.7,1974.67,5005.33,4592,6308,5913.33,1132,7696,9520,10558.7,2636,11881.3,7452,8637.33,5058.67,12578.7,1970.67,4526.67,3596,2217.33,3741.33,3293.33,11973.3,3054.67,12230.7,10089.3,3786.67,12570.7,15088,14386.7,14856,11934.7,1161.33,4993.33
OASIS-TRT-20-6,2697.33,7910.67,5070.67,1573.33,7262.67,11520,11260,2224,12265.3,7029.33,8372,4308,11405.3,1941.33,4212,6284,1576,2606.67,3196,10966.7,3765.33,12104,10301.3,3162.67,12237.3,20905.3,14136,15728,9845.33,1488,4460,2750.67,7760,5764,1656,7696,9850.67,10906.7,2474.67,13216,8465.33,7449.33,5073.33,12573.3,2044,4448,3601.33,2164,3946.67,3666.67,12374.7,2797.33,13100,11505.3,1660,12009.3,20137.3,12893.3,14906.7,10930.7,1202.67,4366.67
OASIS-TRT-20-7,3790.67,6286.67,5026.67,1640,8708,10929.3,8385.33,2268,13053.3,6516,9378.67,4426.67,12746.7,2148,3768,2822.67,2752,4640,2968,9332,4730.67,11458.7,8884,3581.33,10172,18690.7,12801.3,11738.7,8237.33,944,4410.67,2312,5738.67,4934.67,1280,9014.67,15285.3,8448,2025.33,11762.7,6057.33,7840,3832,11697.3,2162.67,3989.33,3817.33,3426.67,2526.67,3312,10000,3612,11681.3,9290.67,2308,10468,22217.3,14312,11450.7,5868,808,4745.33
OASIS-TRT-20-8,1574.67,6056,5184,1109.33,9580,11502.7,8556,2073.33,10726.7,8046.67,5670.67,5449.33,9781.33,1834.67,4852,3393.33,2297.33,4016,2625.33,10885.3,3034.67,10978.7,8792,2366.67,11269.3,22812,11156,13497.3,9878.67,1398.67,4269.33,1685.33,5745.33,3688,1381.33,7418.67,9424,8196,2370.67,11980,8294.67,7482.67,4576,12406.7,1850.67,5576,3674.67,1881.33,2324,3338.67,10453.3,3637.33,11350.7,8328,1662.67,12288,25564,13933.3,12741.3,9524,1169.33,4516
OASIS-TRT-20-9,4220,6266.67,4917.33,1673.33,8040,10668,7914.67,2142.67,11264,7966.67,5865.33,4464,8789.33,1745.33,4701.33,6006.67,1576,1520,2050.67,11750.7,4280,12350.7,8734.67,3953.33,11613.3,17276,10302.7,11678.7,9112,1464,4545.33,2096,6193.33,3801.33,1190.67,7080,10250.7,9504,2326.67,10985.3,8097.33,6688,4076,10253.3,1921.33,4521.33,6976,2286.67,3297.33,2764,7044,4496,10533.3,10060,1928,8418.67,23620,9932,10181.3,12268,1064,4813.33
OASIS-TRT-20-10,1777.33,7634.67,4198.67,1500,7093.33,11302.7,8740,2408,10372,6213.33,7389.33,3228,9501.33,2161.33,4560,3433.33,2148,5306.67,1800,10900,2892,8802.67,8121.33,3528,7944,17817.3,7824,12721.3,9280,1144,4209.33,1956,5726.67,5508,1505.33,6146.67,14960,8476,2246.67,11402.7,6312,7612,3057.33,9624,1949.33,4186.67,4000,2226.67,2865.33,1837.33,9800,2860,10805.3,7738.67,2413.33,8825.33,20730.7,8648,11056,6249.33,1264,4061.33
OASIS-TRT-20-11,2733.33,6576,4953.33,1973.33,8517.33,10906.7,9314.67,2290.67,9545.33,6102.67,7910.67,4021.33,10592,1977.33,3386.67,5706.67,2245.33,3230.67,2902.67,11584,4658.67,12440,9793.33,3422.67,11266.7,20362.7,10982.7,14702.7,10473.3,1600,4709.33,2165.33,5317.33,5558.67,1613.33,7513.33,13553.3,9536,3297.33,10990.7,7606.67,8749.33,4081.33,10308,1910.67,4157.33,5562.67,2598.67,5010.67,3329.33,12322.7,3308,10293.3,10150.7,2500,10556,20834.7,10304,13365.3,8226.67,1196,4857.33
OASIS-TRT-20-12,3009.33,5808,5892,1680,6534.67,7848,9092,2530.67,12102.7,7198.67,7906.67,3820,11481.3,2070.67,4013.33,4054.67,2465.33,6177.33,2802.67,14232,2990.67,11469.3,10817.3,3388,10316,21389.3,10330.7,11572,10073.3,1133.33,4793.33,3002.67,5678.67,3890.67,1490.67,7570.67,11248,9916,2384,12014.7,7128,7634.67,5106.67,10062.7,1996,3025.33,4000,2606.67,2969.33,2960,11190.7,4097.33,11213.3,11132,3008,13296,20904,13292,10732,8597.33,1209.33,4592
OASIS-TRT-20-13,2316,6540,4886.67,1812,6550.67,11113.3,9305.33,2028,10156,6492,5990.67,4541.33,9445.33,1796,3936,2754.67,2724,3860,2516,9452,2918.67,11705.3,7537.33,2350.67,7673.33,20048,12565.3,10716,7970.67,1077.33,3932,1517.33,5149.33,4014.67,1536,6196,9197.33,8016,1905.33,13262.7,6692,6544,3572,9768,1742.67,3126.67,5132,2474.67,2921.33,2288,9198.67,4046.67,10769.3,7973.33,3232,9248,21570.7,11306.7,11177.3,8181.33,1380,3740
OASIS-TRT-20-14,2074.67,6081.33,4078.67,1434.67,6314.67,9638.67,9132,2374.67,12170.7,6409.33,6894.67,3026.67,9037.33,1686.67,3110.67,2721.33,2345.33,3453.33,2297.33,9726.67,2836,9676,8141.33,2736,8988,20190.7,11128,12362.7,8657.33,740,3914.67,2664,5786.67,5289.33,1496,6089.33,11329.3,7845.33,2294.67,13026.7,6072,8673.33,3749.33,10252,1785.33,3712,3048,1808,3389.33,2649.33,8322.67,2768,9840,7605.33,1881.33,8398.67,20168,12664,10720,6381.33,814.667,3877.33
OASIS-TRT-20-15,1676,4865.33,3253.33,1472,6420,8712,7446.67,2556,9749.33,5925.33,8238.67,3641.33,10932,1837.33,3221.33,5613.33,2272,1802.67,2193.33,8174.67,3270.67,9969.33,7464,2286.67,8697.33,19986.7,10360,11912,9389.33,1420,4116,1749.33,6169.33,3957.33,1336,6913.33,9572,8834.67,2508,10241.3,6713.33,7860,3186.67,7914.67,1712,3320,4036,3248,3534.67,2549.33,10036,2628,8784,8270.67,2561.33,7501.33,19998.7,10045.3,11081.3,7877.33,1106.67,3716
OASIS-TRT-20-16,3765.33,6753.33,4433.33,1688,7593.33,8444,9218.67,2469.33,10109.3,6289.33,6740,4668,11402.7,2004,3426.67,5264,2269.33,5228,2893.33,11564,4374.67,10450.7,10146.7,4512,8117.33,18836,12692,12180,13878.7,1248,4397.33,2408,5304,4896,1593.33,6148,14338.7,9686.67,2213.33,11258.7,6805.33,6396,4824,12457.3,1953.33,4396,5400,2084,4801.33,3650.67,8682.67,3124,10186.7,10944,1786.67,8004,24210.7,11192,9156,10280,1101.33,4622.67
OASIS-TRT-20-17,3557.33,6358.67,4593.33,1797.33,7073.33,8385.33,13382.7,2912,13793.3,7192,6970.67,3824,11400,2088,4048,3205.33,2676,3296,3690.67,10442.7,4362.67,13181.3,7522.67,2014.67,14258.7,19457.3,12066.7,13913.3,9402.67,1222.67,4750.67,2581.33,5410.67,5173.33,1525.33,8965.33,10098.7,11476,2230.67,11128,6402.67,7182.67,4200,10666.7,2053.33,5156,3877.33,1949.33,4582.67,3864,11712,3976,11886.7,6586.67,3949.33,13140,20993.3,14309.3,13685.3,8745.33,881.333,4401.33
OASIS-TRT-20-18,4270.67,4881.33,5445.33,1544,6477.33,9745.33,9349.33,2124,12824,6012,6964,4138.67,8485.33,2620,5041.33,4709.33,1802.67,5058.67,2274.67,10352,3450.67,11338.7,9402.67,3064,13113.3,18710.7,11969.3,16033.3,9017.33,1809.33,5046.67,2306.67,5417.33,4908,1798.67,5965.33,10861.3,8912,2312,12076,6741.33,5357.33,3177.33,11613.3,2254.67,3908,4444,1682.67,5672,2614.67,10046.7,3338.67,9982.67,9889.33,2442.67,11086.7,23854.7,11601.3,12556,11036,1020,5016
OASIS-TRT-20-19,1845.33,4114.67,3617.33,1358.67,5824,10761.3,6724,2082.67,8446.67,4978.67,6362.67,4006.67,10993.3,1884,3354.67,1973.33,1754.67,2985.33,2348,10714.7,2502.67,10617.3,8088,2780,9822.67,17572,7856,10749.3,8172,1065.33,4053.33,1692,4898.67,3756,1445.33,5669.33,10356,8312,2081.33,9300,7628,5784,3593.33,10222.7,1893.33,3016,3328,1521.33,3548,2701.33,10361.3,2294.67,9364,8616,1718.67,8474.67,17454.7,8041.33,10177.3,8665.33,972,3733.33
