"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lcACC","ANTsNative",0.193375526084793,0.202909149827423,0.205169830520083,0.207545514482492,0.218587032281228,0.00345222895649687,0.895732535423987,0.976755559078966,0.995890361123815,1.01391904421112,1.09816356141513,0.0278570470752923,4.31055485178301,4.74764076908174,4.85102570885531,4.95941664159337,5.46414153595775,0.159446806847818
"lcMFG","ANTsNative",0.256239122088385,0.267751379134467,0.270706066735682,0.273627683043214,0.285781998074461,0.00440553084926816,0.879042512469071,0.948651483342794,0.966922145477946,0.984909221882165,1.06232041107091,0.0261523967623434,3.18609436213193,3.49686936581499,3.57039674457139,3.64879020161532,4.01428247847521,0.112238940265209
"lCUN","ANTsNative",0.219917883876537,0.229599280955713,0.232217194115279,0.23476245005956,0.247325310290829,0.00381752666086723,0.891865672725807,0.975065394961385,0.993429559033191,1.01185172811957,1.12375815815182,0.0282494087395305,3.8373117635651,4.18617903972627,4.27655633095538,4.37144901127265,4.91951977367045,0.139806625367016
"lENT","ANTsNative",0.214466531142222,0.226730470828286,0.229154184447799,0.231742994930766,0.243240345959479,0.00376878577307802,0.887528037358985,0.957980945568751,0.976281732246265,0.994579017251136,1.06780162131543,0.026914974408333,3.80398414057822,4.16963470816098,4.25810273157397,4.35410762006065,4.76369215568622,0.135415569611108
"lFUS","ANTsNative",0.216865410422517,0.225575879082097,0.228053214360958,0.230531409263255,0.241564145521336,0.00363181120811778,0.897537389001396,0.970441701048343,0.98851278089196,1.00768639315813,1.11635448557895,0.0279071608985327,3.86484871764977,4.24205696210931,4.33680154736739,4.43309093131063,4.84010370544875,0.139593443552259
"lIPL","ANTsNative",0.214688407607335,0.224778681474302,0.227343475247056,0.229991142147586,0.24013700682097,0.00380162232373588,0.890594574954212,0.973347793203349,0.99271362984362,1.01141415059057,1.13564160950099,0.028653819308701,3.86026497968433,4.26935068532653,4.36396970854678,4.46406173649149,5.17387163607319,0.148311859014767
"lITG","ANTsNative",0.232525337884715,0.245155759776795,0.247823120436997,0.250626308485151,0.264171723270176,0.00409489671215141,0.891524152591945,0.960690626138324,0.978807585179098,0.997288346685211,1.09084741213236,0.0271755935496239,3.52836085817426,3.8659998468183,3.94838371658639,4.03630008492849,4.4749594205148,0.128516470204438
"liCC","ANTsNative",0.20407405983913,0.213937486147565,0.216401917624232,0.218866985503026,0.227962973814443,0.00356639782627476,0.894659683434727,0.97465773913853,0.992640811141989,1.01162360212134,1.09947310904124,0.0277894992956145,4.00954065089752,4.4864916673164,4.58788964979935,4.69533233602315,5.13101757897728,0.151646252014042
"lLOG","ANTsNative",0.227262432890111,0.239633123735663,0.242140016427937,0.244912038654642,0.25840328516379,0.00384513715237398,0.893547662134208,0.965279613400185,0.983870700921154,1.00240394774333,1.09159046276461,0.027238754309367,3.67528033581642,3.97095669613689,4.06249259450804,4.15157500830307,4.50307051321131,0.130807452503191
"lLOF","ANTsNative",0.22849672309585,0.240500126849693,0.243207193943862,0.245921277340911,0.258658644141894,0.00398467292089989,0.887798588607937,0.966075554481867,0.984395762784587,1.00382876493241,1.10633067926138,0.0282080691127608,3.62020619416954,3.95723278754669,4.04626486535186,4.14066981477295,4.54264860268889,0.13488655475476
"lLING","ANTsNative",0.224256437373414,0.236461719235347,0.239103266513339,0.241695420693337,0.252902502004466,0.00395589449596272,0.913706804906717,0.984281110436122,1.00217872183506,1.02075287970564,1.11453841839142,0.0271497713955324,3.69471252042326,4.10284083910372,4.19128732404061,4.28254414211343,4.68897254320058,0.135138614546519
"lMOF","ANTsNative",0.237024817446706,0.247443110900761,0.250240132678464,0.252946820185267,0.266140200456828,0.00402442986192264,0.882244662136077,0.963542491808136,0.982121818641061,1.00064878338534,1.09220606585156,0.028144889789903,3.46590075240565,3.83822044216295,3.92597220920078,4.01315115480794,4.41873400076377,0.128078191894442
"lMGH","ANTsNative",0.220301620149717,0.229720078991517,0.232333895292753,0.234849248087784,0.245641552945208,0.00379820017235654,0.888222052938666,0.972132130447712,0.990898293558057,1.01009155261624,1.10904475835191,0.027930677881222,3.76618272204885,4.17325351578408,4.2647736276137,4.36257548666869,4.79645933813837,0.138682861303213
"lPARH","ANTsNative",0.196901465426311,0.20697666455436,0.209342521111886,0.211719530415041,0.223861884464648,0.00351830962570837,0.904990755299829,0.976836732851854,0.995529376498488,1.01426911892657,1.10248654065332,0.0275076214429887,4.23574050100674,4.65039789939952,4.75672868739407,4.86125325136104,5.30846840327709,0.153872298072796
"lparaC","ANTsNative",0.173956975583841,0.183054696150614,0.185141869428585,0.187302540723253,0.196143896313911,0.00312818423616929,0.89141493326669,0.968284602264701,0.986483351054086,1.00485391036161,1.09576127333483,0.0273749593952219,4.72157781112549,5.21220544254088,5.33165011260475,5.44629934301887,5.98884513914795,0.174769293984345
"lpOPER","ANTsNative",0.230111930851407,0.241292165089073,0.244124574305493,0.246883651694037,0.260514456252949,0.00414645746072699,0.892461783210574,0.961704054295734,0.979166608592721,0.996883855322064,1.09078580783758,0.0271625492947096,3.63273897525616,3.92952295519572,4.0101714628188,4.09785218719852,4.48743911186904,0.130776643243005
"lpORB","ANTsNative",0.269661519641175,0.283994779827224,0.287019043619373,0.290165180258151,0.304711735065632,0.00464765424773817,0.878535995187636,0.954643431603118,0.971911151347468,0.989472691040592,1.08672976185702,0.0273441124809558,3.00532118032851,3.3121097478292,3.38600076304216,3.46192158086446,3.78257683825165,0.110001043591068
"lpTRI","ANTsNative",0.252600406055592,0.265447865046686,0.268526000220153,0.271582804913577,0.283719023246022,0.00451161049569536,0.871211687708464,0.950498089467433,0.969249812101638,0.989101575767255,1.07304223692335,0.0282734293791757,3.19108751827474,3.52793985430494,3.60781708276329,3.69309242975316,4.08130919493873,0.1227224031359
"lperiCAL","ANTsNative",0.251198895013643,0.265189707267855,0.268249028253653,0.271268878237639,0.285043106191079,0.00446731477939934,0.90393140111363,0.967483277769466,0.984969148806684,1.00289678875294,1.09633549238721,0.0273299087155277,3.30132602509675,3.59119595348115,3.67077542076559,3.75641678691457,4.10333274091119,0.120118526708212
"lpostC","ANTsNative",0.23088933716784,0.242002859019965,0.244693169050734,0.247366697164011,0.258552696401498,0.00389638569848836,0.880913879950213,0.958993648141778,0.97751299694701,0.996170599848368,1.08672979615662,0.027007041017004,3.58993378017183,3.91060060620202,3.99528078880569,4.08178082414318,4.53680618039218,0.127678233183553
"lPCC","ANTsNative",0.185046040208378,0.19323666446905,0.195543122447466,0.197675392422857,0.206619066691041,0.00325024888109583,0.921254341029914,0.987848301040162,1.00651984023648,1.02573668430979,1.09638722785239,0.0278850837746744,4.56465531273047,5.03816400985894,5.15219818306389,5.26155817231075,5.8591703702532,0.165302958031547
"lPreC","ANTsNative",0.247489778853026,0.25787847247173,0.260827136796032,0.263663438752528,0.278568050611777,0.00433971547410007,0.886621347891231,0.957176138843328,0.975494769013503,0.994025701297499,1.08702097646284,0.0272271856004507,3.36423598056261,3.65901733052169,3.74204434001118,3.82774802818139,4.22107705392771,0.121005421308787
"lPCUN","ANTsNative",0.160496154123527,0.167982954488197,0.169874950874461,0.171785511935803,0.180379829413529,0.00280510479870891,0.911973017818507,0.983797133852056,1.00132005619592,1.01928713511657,1.09264041247315,0.0270416112094673,5.29018664347396,5.77112370236818,5.8980149825429,6.0174726812387,6.61718671791479,0.185460331780627
"lrACC","ANTsNative",0.198919837399604,0.208917803250376,0.211260789198171,0.213670050278745,0.223338862214066,0.00352294457828832,0.897561511291379,0.97166426952766,0.990751067742147,1.00989358166933,1.09654396093975,0.0275017044500855,4.17568905027546,4.58742776495851,4.68956797098136,4.79361355954918,5.44028152774696,0.152429227423389
"lrMFG","ANTsNative",0.258471991026807,0.271831134087135,0.274828652505623,0.277798343497518,0.294934748265889,0.00452237136333935,0.878678202433737,0.962218140972313,0.980229010492874,0.998363810467939,1.08865361677349,0.026521959185993,3.13125847237918,3.49154472540558,3.56650304143774,3.64545083368774,3.99638522702225,0.114203189581769
"lSFG","ANTsNative",0.281969296116197,0.297503262102093,0.300971962117707,0.304262973313015,0.318939166225611,0.00503307300953598,0.869390067905611,0.943368424549816,0.960449894875529,0.978153524103346,1.06450426905542,0.026060031062224,2.8653044093882,3.12443214324231,3.1935919598606,3.26249419342232,3.53991174460427,0.102263108051588
"lSPL","ANTsNative",0.199558169508161,0.208351608379324,0.210710971672195,0.213117120531242,0.223903196589477,0.00350173877883194,0.915839654551657,0.975418066425923,0.994042619828089,1.01279424070613,1.10047204328952,0.0275444951075217,4.21602157749349,4.614605847597,4.71511621274889,4.82101991350649,5.28291810711101,0.153604886088868
"lSTG","ANTsNative",0.222166808326637,0.231513633137354,0.234189832182758,0.236816661354793,0.249081883025147,0.00383767447003384,0.874470787298458,0.965890374011462,0.983812995910614,1.00233074104984,1.11923388636026,0.0276174689862561,3.72301565233505,4.11445813146453,4.2011722540472,4.2920666000081,4.74028259224404,0.137618474491168
"lSMAR","ANTsNative",0.235265464740961,0.24521299611326,0.247903956833576,0.250628805871645,0.26647554248094,0.00400467145643401,0.893505326853361,0.968420806134773,0.986022740856992,1.00418650695132,1.10498454800443,0.0271545678326124,3.47320158173338,3.89399829914754,3.97660152516361,4.06187846834742,4.53202511954396,0.1281485275942
"lTT","ANTsNative",0.26921187472022,0.285783046992116,0.288959693239845,0.292340429537645,0.308733727060321,0.00488426696698539,0.874275836840279,0.943593284394119,0.961221768163891,0.979341753221035,1.05244772450498,0.0264192242409244,2.91807949631032,3.25381265513838,3.32663870214795,3.39835865594151,3.77116818711707,0.106678048406971
"lINS","ANTsNative",0.204731417533633,0.214152545000861,0.216494530613083,0.218944210393341,0.230080251204619,0.00358678698997677,0.921077804108746,0.977312844085316,0.994817706251304,1.0145639447903,1.08936402716225,0.0271900920667791,4.11461735837341,4.50094018833008,4.59723978114814,4.69576340528245,5.13351667467115,0.148041202549882
"rcACC","ANTsNative",0.18549970660846,0.195119144503918,0.19727709749278,0.199421275545968,0.208387459821166,0.00323867576040233,0.903145662887015,0.988085458771563,1.00594226335663,1.02439468857617,1.12373037946977,0.0272711101461922,4.6060235733098,4.99541054843172,5.10045919027837,5.207301822983,5.72524070639178,0.162855877218978
"rcMFG","ANTsNative",0.24891448034025,0.260128242247075,0.263102592033585,0.266188364592061,0.278418393480791,0.0043898997721186,0.881676472700425,0.950943847135802,0.969003626012838,0.987389727016588,1.06697340557523,0.0267354939935709,3.3092837447821,3.60210199147798,3.68143539833776,3.76753125267335,4.12830472625586,0.120058090688516
