"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lcACC","ANTsSST",0.201530180112385,0.210305292587552,0.212680528827513,0.215068694630524,0.224807739739051,0.00351820747784626,0.9033995865036,0.972702745438639,0.989978125160438,1.0076255409948,1.10416405815229,0.0266580189401108,4.17634581416731,4.55937273080019,4.65382617491093,4.75303467043937,5.21476644716225,0.145728201297922
"lcMFG","ANTsSST",0.265721952356633,0.279976857786322,0.283001176470964,0.286187809820462,0.298448001979253,0.0046216333486442,0.879426813603124,0.95771038687832,0.975804511177326,0.994390052480369,1.08357566234699,0.0277491685352874,3.06706163474386,3.3733509299932,3.4473090271053,3.52454176564912,3.90697668974544,0.112263371782669
"lCUN","ANTsSST",0.256406240375901,0.268381683835747,0.271285500433184,0.274356837237327,0.284898371660958,0.00440264644585636,0.892915754958285,0.96683228764739,0.983463525230633,1.00172340328288,1.088836584356,0.0264595101201414,3.27338331841856,3.54920502509162,3.62621372932741,3.7032041305858,4.06730948480944,0.114432257634715
"lENT","ANTsSST",0.312598279795772,0.326827941906129,0.330546606579599,0.334250234156133,0.352642800909099,0.00547256528416728,0.849134468713764,0.920062865610289,0.93779421184804,0.955481364158811,1.06013153424323,0.026079885410599,2.5280560307581,2.77504448420205,2.83813003234888,2.89936453312421,3.15589259931953,0.0921358981230233
"lFUS","ANTsSST",0.251079694965366,0.26148830161843,0.264316205623089,0.26726109290713,0.281799639130757,0.0043174107927384,0.876824978456291,0.958171714660791,0.976225966739639,0.994728691678935,1.08219596306141,0.0267725518902037,3.2340513528842,3.6154831225226,3.69292986893489,3.77254673976965,4.2121111329386,0.11818433108085
"lIPL","ANTsSST",0.21382644621783,0.222911578634157,0.225439730598619,0.227956497796536,0.239782646393085,0.00378600677398368,0.905821833255232,0.972185698938969,0.989598821115712,1.0082680125933,1.09689429570588,0.0268554094381706,3.93234213982603,4.29793951210512,4.39214222269513,4.4864500121498,4.91038064335515,0.141739988567051
"lITG","ANTsSST",0.292757996816302,0.308931293350987,0.312374441701623,0.315797756095518,0.330231858542779,0.00511015827369288,0.87894825684717,0.939494179715021,0.957007872092265,0.975396259523573,1.06258381719739,0.0264989371583651,2.75463534040573,3.00039932938287,3.0643486829658,3.13033939632816,3.47617926291257,0.0987223861303737
"liCC","ANTsSST",0.211259776491047,0.222414462378804,0.224876084439624,0.227453316105106,0.238196928260686,0.00375011949227206,0.908140500491854,0.976534078198065,0.994513176793329,1.01331052247284,1.09565172420461,0.0271437463747724,3.96259723296674,4.32754164644227,4.42406406370254,4.52353277953401,4.94293088417856,0.144931578355724
"lLOG","ANTsSST",0.220361497377488,0.231174893518974,0.233677643241491,0.236303234051403,0.251588295434361,0.00383990930521641,0.885769737963557,0.965401194099789,0.983884432392214,1.00160650989678,1.08354854917351,0.0270669793606657,3.77065890894665,4.12025390811867,4.20962023295229,4.2973845955714,4.72771031044854,0.135433391353797
"lLOF","ANTsSST",0.247716371347947,0.260893671321617,0.263716002672346,0.266658195948222,0.279780401670553,0.00439478195418863,0.889600784776358,0.953679930086268,0.970522372930503,0.989410150467687,1.06996988617887,0.0263345893074602,3.35820459770238,3.60383087482846,3.67858304799155,3.76496705881383,4.08641319918798,0.115891462113575
"lLING","ANTsSST",0.215927786364442,0.224629083775271,0.227224963352213,0.229865444109768,0.243538158966233,0.00381105323415864,0.912033149161244,0.983535529627755,1.00123075282557,1.0208598945458,1.11532500117133,0.027468013005409,3.98467637423083,4.3145446169362,4.40694283787835,4.50717763119576,4.93750693931504,0.139851820827929
"lMOF","ANTsSST",0.277068132580529,0.2901495823712,0.293342290206171,0.296615180735451,0.309677313900099,0.00477194494801941,0.876058023244454,0.946189801563897,0.9635690134249,0.981740938859661,1.08317335033196,0.0265220143291969,2.94867384493806,3.2110720028615,3.2862675120315,3.35984867965544,3.70563494294471,0.106147784206186
"lMGH","ANTsSST",0.229247660342724,0.240801775471526,0.243610836472718,0.246474012768243,0.258443176169093,0.00403935824210618,0.900602332301626,0.969203077841996,0.987256816432796,1.0060781182853,1.08753275397428,0.0273377733853527,3.6277573236392,3.96482347674643,4.04941007950485,4.14570381711009,4.4754135113264,0.132030355358251
"lPARH","ANTsSST",0.22451313695088,0.235882207515733,0.238527235541723,0.241241222719054,0.255850191604661,0.00397397502077009,0.896659562168652,0.969296390615233,0.988395523929034,1.00714324581294,1.08988349511514,0.0286011173049743,3.66951496336802,4.05300193201025,4.14387611746024,4.23596447771273,4.67993725821832,0.137416765383168
"lparaC","ANTsSST",0.265022599636502,0.278029954296072,0.281130407134019,0.28422434374913,0.298552156989006,0.00474789717374263,0.859780687196407,0.943581497502406,0.962012534001468,0.980706887043828,1.05556532680189,0.0268044367452238,3.05276813956532,3.34503093405808,3.42339034392236,3.49818937613523,3.86760913568044,0.112669824730034
"lpOPER","ANTsSST",0.219291689312261,0.229246451095316,0.231687151713191,0.23424152563589,0.246386411108261,0.00377978813029292,0.892153385704599,0.961612893580618,0.979616110155542,0.998719373348521,1.07826895492572,0.0277702600798653,3.7723219436207,4.13858684476074,4.22852264552877,4.32379001074235,4.79866690210302,0.139710750425043
