"DktRegion","Pipeline","sigma.0.","sigma.25.","sigma.50.","sigma.75.","sigma.100.","sigma.sd","tau.0.","tau.25.","tau.50.","tau.75.","tau.100.","tau.sd","variance.ratio.0.","variance.ratio.25.","variance.ratio.50.","variance.ratio.75.","variance.ratio.100.","variance.ratio.sd"
"lcACC","FSCross",0.350478318707619,0.364419149393284,0.368717357386367,0.372930991447556,0.3927295094593,0.00616131124583793,0.865490544928989,0.932262730009176,0.950803718877937,0.96943788996689,1.05719380977932,0.0273668120894254,2.3059220123319,2.52122285048025,2.57806438855287,2.64045646005114,2.91528685380669,0.0870013165518268
"lcMFG","FSCross",0.391633862956118,0.411326102080597,0.416021954656408,0.420941277914747,0.444496517672382,0.00693791578382483,0.828922867903618,0.898185152111149,0.916036023892162,0.935291853434742,1.04634552656103,0.0273916978095282,1.96592325493182,2.15093431288601,2.20203561831664,2.25590133203263,2.48359025986591,0.0769233569383845
"lCUN","FSCross",0.371401800047503,0.392975139623436,0.397602057809583,0.402072747439277,0.422593166939065,0.00658948184010257,0.837067119193676,0.909993099132305,0.928019661839405,0.945681344175606,1.03472416578934,0.0269165140652576,2.06074297564499,2.28378542822922,2.33240345657576,2.38684752189423,2.67478149146698,0.0786868537195472
"lENT","FSCross",0.294507072827221,0.307427118733227,0.31087288503185,0.314393767088633,0.329533424539307,0.00517060060158809,0.867268753265883,0.935051632913361,0.952502436213251,0.971263792523419,1.06633759420647,0.027003793350601,2.74629049053197,2.99788577153497,3.06511887953447,3.13583020530801,3.4605157952521,0.100903220695
"lFUS","FSCross",0.30709507551309,0.325136665851759,0.328799549268726,0.332395861894476,0.348603301733352,0.00537691278053859,0.866373501939143,0.939027768332965,0.957760095013525,0.975666736328887,1.07506537539061,0.0270986041706564,2.5957222648879,2.84935757959654,2.91362407407527,2.97726437145679,3.33994693433097,0.0956992787505117
"lIPL","FSCross",0.327092120324585,0.340356202187543,0.344132213161478,0.348011769017293,0.367070666963834,0.00565783820045177,0.841785854763168,0.944566141062566,0.962491635172612,0.981262606046656,1.06759426546177,0.0274140785100611,2.37932709755158,2.73635880696032,2.7987616969006,2.86150336946972,3.1898460580899,0.0945506527804423
"lITG","FSCross",0.291426154034322,0.306755926492246,0.31005965232537,0.313444325239846,0.330713111287301,0.00503100305545675,0.882454248926124,0.949752718462992,0.967875494228583,0.986736667863158,1.06848913134792,0.0273233493755423,2.77289177827351,3.05490548258005,3.11999894473496,3.1917028163067,3.47868223668801,0.101597864890229
"liCC","FSCross",0.342939208342472,0.362072140626319,0.365983736209684,0.369988833374419,0.38868808284095,0.00604868946425803,0.841501648293503,0.911529063920335,0.928945814397489,0.947162949082516,1.02299160998595,0.0258014255085782,2.29434753450373,2.48303580536021,2.53865942379381,2.59475992317072,2.85632353776984,0.0821223257593697
"lLOG","FSCross",0.343965634003347,0.362582205827647,0.36658975305855,0.370917834496483,0.38704067732373,0.00605857901035017,0.865335889552565,0.925614765541301,0.943482712362214,0.962227916820362,1.04792351748927,0.026506355648023,2.26939843050314,2.51787973306121,2.57187687652647,2.6291199717779,2.8791119845756,0.0847371044690958
"lLOF","FSCross",0.413889841212371,0.430924426549137,0.435751048780218,0.440902916994026,0.458616203643463,0.00709156354469352,0.822537452232948,0.899958574159954,0.917804954397924,0.935986615704687,1.01618314205907,0.0268985159091279,1.83396995200691,2.05760540530549,2.10775597559266,2.15442529964111,2.39947422242117,0.0717301559712584
"lLING","FSCross",0.362258662844247,0.379738930057562,0.383882827793192,0.388227243459891,0.412024207169053,0.00638522075458068,0.83749292594201,0.906649042520414,0.923606697969401,0.942995605522256,1.0163168015184,0.0263419406662857,2.1191044297367,2.35387777905076,2.40756425838164,2.46272612169411,2.69717252928804,0.0807232200080276
"lMOF","FSCross",0.467217482222532,0.488584478420955,0.493993395502296,0.499465780162313,0.526034284174631,0.00805348333214722,0.788358249650586,0.864451440053803,0.881138534613543,0.898738179189818,0.981318089398715,0.0262850943903753,1.58833535898161,1.74368747753787,1.78322934039534,1.82653872460183,2.01948239786732,0.0626577786450125
"lMGH","FSCross",0.288951191727849,0.301412790818233,0.304686502516153,0.308236197454258,0.324100100902641,0.00499607228606054,0.885136883918458,0.951362331348063,0.969426714156125,0.987443066539562,1.06400386243228,0.0269299624723123,2.84654062894444,3.10970188980379,3.18075531635659,3.25368756258665,3.51292581215952,0.105087269811406
"lPARH","FSCross",0.225412087851386,0.237088779831552,0.2396663124186,0.242359056240258,0.255433989549946,0.00393607307085093,0.885037416358115,0.95624005372197,0.97434029445108,0.992845838215067,1.07899502043742,0.0270492838723363,3.67136416391097,3.97515955675617,4.06450524812237,4.15358688736873,4.58945779014781,0.132367869840943
"lparaC","FSCross",0.450987125524696,0.472949287565679,0.478152045206306,0.483663652703805,0.505506070833305,0.007819495180876,0.800644034786543,0.86996303673804,0.887784568584687,0.906080714911643,1.00037233716388,0.0266767507178448,1.62496286852758,1.81443631903334,1.85689332960232,1.90108784809999,2.1442163301051,0.0640451997533272
"lpOPER","FSCross",0.415807519285863,0.43879260281069,0.444015182691607,0.448979453472568,0.470412449734742,0.00734153202630279,0.815549314311296,0.880885978832588,0.898987711402209,0.917683301058857,0.993306586465464,0.0266473118814533,1.77211296168502,1.97612549802847,2.02563562043349,2.07430514821841,2.30449858739026,0.0701019775303456
"lpORB","FSCross",0.354884253155832,0.371662317469753,0.375598911065511,0.379868587494319,0.398771776839191,0.00618038662091054,0.845594972201038,0.916125913594151,0.933477171971688,0.951611457523372,1.01985787469491,0.0265762789170119,2.23277711299209,2.42936919633226,2.48624920701083,2.54139305427091,2.76132320611623,0.0818622120674865
"lpTRI","FSCross",0.371577205631891,0.394386981500108,0.398935501806786,0.403438632195416,0.422733475089893,0.00665018877022678,0.837339624476997,0.909078334018258,0.927265220601668,0.945368631544705,1.03067543447185,0.026992206898865,2.02903542568513,2.27170292196901,2.32434419694435,2.37896333441789,2.60719308368028,0.0784033156912939
