"","names","unnormed","normed"
"1","lcACC","1.9765","0.18889472929708"
"2","lcMFG","1.3762","0.204675927303013"
"3","lCUN","1.5922","0.190277014268984"
"4","lENT","0.9915","0.111048888391107"
"5","lFUS","1.6468","0.166457768972628"
"6","lIPL","1.7412","0.200165540074493"
"7","lITG","1.2878","0.162350924081592"
"8","liCC","1.5687","0.162201565456557"
"9","lLOG","1.3098","0.161899582210576"
"10","lLOF","1.1117","0.11019696083582"
"11","lLING","1.4336","0.1598857958601"
"12","lMOF","1.129","0.135517945024607"
"13","lMTG","1.4498","0.17279683440204"
"14","lPARH","1.1207","0.0921681346788055"
"15","lparaC","2.3275","0.246231155778894"
"16","lpOPER","1.3007","0.160594125418246"
"17","lpORB","0.857499999999999","0.116785835886959"
"18","lpTRI","0.7746","0.102658573435471"
"19","lperiCAL","1.0463","0.165718992033198"
"20","lpostC","1.6366","0.197099983139437"
"21","lPCC","2.3225","0.203415809065032"
"22","lpreC","1.453","0.184227209331812"
"23","lPCUN","3.0731","0.252578717668428"
"24","lrACC","2.2782","0.230545042401182"
"25","lrMFG","1.0796","0.147478279875417"
"26","lSFG","0.8238","0.123024999253308"
"27","lSPL","2.286","0.257027209354621"
"28","lSTG","1.5572","0.167031363967907"
"29","lSMAR","1.4841","0.178895599030847"
"30","lTT","0.7412","0.130062469291781"
"31","lINS","1.0934","0.108832838970398"
"32","rcACC","1.5523","0.150596156271525"
"33","rcMFG","1.3461","0.196399130422095"
"34","rCUN","0.7222","0.101463935485684"
"35","rENT","1.4477","0.156469202252413"
"36","rFUS","1.2658","0.131386103672334"
"37","rIPL","1.7643","0.202427802700873"
"38","rITG","1.2133","0.149297993035303"
"39","riCC","1.4967","0.155528768717592"
"40","rLOG","0.942600000000001","0.125389097294277"
"41","rLOF","1.4602","0.154032785501804"
"42","rLING","1.2762","0.155562056607913"
"43","rMOF","1.2172","0.148388355195787"
"44","rMTG","1.443","0.169028932880403"
"45","rPARH","1.0548","0.0920001395527335"
"46","rparaC","2.418","0.256089811480618"
"47","rpOPER","1.2963","0.165266392136364"
"48","rpORB","0.7395","0.0985934271048597"
"49","rpTRI","0.9145","0.119612844156694"
"50","rperiCAL","0.6989","0.11162575266327"
"51","rpostC","1.1465","0.149410308203558"
"52","rPCC","1.5148","0.1441952556829"
"53","rpreC","1.0265","0.138091074191162"
"54","rPCUN","2.2583","0.208297591706098"
"55","rrACC","2.1093","0.216322930661388"
"56","rrMFG","1.1363","0.145984557472667"
"57","rSFG","1.0459","0.142219986130186"
"58","rSPL","1.3833","0.172552297079846"
"59","rSTG","1.5352","0.162544468914111"
"60","rSMAR","1.4136","0.177000901532605"
"61","rTT","0.8801","0.156048866114647"
"62","rINS","1.4012","0.126704524903244"
